"","accepted_name","phylo.tip","input_name","name_class","ncbi_id","GenBank_taxonomy","ITS","trnTLF","rbcL","matK","atpB"
"70","Antennaria_dioica","Antennaria_dioica","Antennaria_dioica","scientific name",49054,"Antennaria_dioica","223414512","317438828","379032538","308196094","NA"
"71","Anthericum_liliago","Anthericum_liliago","Anthericum_liliago","scientific name",51434,"Anthericum_liliago","NA","24181948","1518182","313756619","499069522"
"72","Anthoxanthum_odoratum","Anthoxanthum_odoratum","Anthoxanthum_odoratum","scientific name",29661,"Anthoxanthum_odoratum","209962734","119553714","57283791","133917425","110915581"
"73","Anthriscus_sylvestris","Anthriscus_sylvestris","Anthriscus_sylvestris","scientific name",48027,"Anthriscus_sylvestris","165911381","312182175","379037312","379042214","NA"
"74","Anthyllis_montana","Anthyllis_montana","Anthyllis_montana","scientific name",168124,"Anthyllis_montana_subsp__jacquinii","19572710","NA","NA","NA","NA"
"75","Anthyllis_vulneraria","Anthyllis_vulneraria","Anthyllis_vulneraria","scientific name",118891,"Anthyllis_vulneraria","NA","667668277","817991654","NA","NA"
"76","Anthyllis_vulneraria","Anthyllis_vulneraria","Anthyllis_vulneraria","scientific name",118891,"Anthyllis_vulneraria_subsp__lapponica","NA","NA","NA","23477675","NA"
"77","Anthyllis_vulneraria","Anthyllis_vulneraria","Anthyllis_vulneraria","scientific name",118891,"Anthyllis_vulneraria_subsp__reuteri","28467446","NA","NA","NA","NA"
"78","Antirrhinum_majus","Antirrhinum_majus","Antirrhinum_majus","scientific name",4151,"Antirrhinum_majus","NA","22795974","290486933","290488913","290490141"
"79","Antirrhinum_majus","Antirrhinum_majus","Antirrhinum_majus","scientific name",4151,"Antirrhinum_majus_subsp__tortuosum","222137869","NA","NA","NA","NA"
"80","Aquilegia_vulgaris","Aquilegia_vulgaris","Aquilegia_vulgaris","scientific name",3451,"Aquilegia_vulgaris","211908984","NA","158323639","340513409","158602254"
"81","Arabidopsis_thaliana","Arabidopsis_thaliana","Arabidopsis_thaliana","scientific name",3702,"Arabidopsis_thaliana","98283744","27461487","1928871","12002416","73658411"
"82","Arabis_alpina","Arabis_alpina","Arabis_alpina","scientific name",50452,"Arabis_alpina","69196379","127951014","459991406","12002330","NA"
"83","Arabis_auriculata","Arabis_auriculata","Arabis_auriculata","scientific name",571350,"Arabis_auriculata","327397784","677278320","NA","NA","NA"
"84","Arabis_caerulea","Arabis_caerulea","Arabis_caerulea","scientific name",586519,"Arabis_caerulea","442093672","442093722","NA","NA","NA"
"85","Arabis_ciliata","Arabis_ciliata","Arabis_ciliata","scientific name",571353,"Arabis_ciliata","677278124","677278389","NA","NA","NA"
"86","Arabis_collina","Arabis_collina","Arabis_collina","scientific name",571354,"Arabis_collina","312142316","677278415","NA","NA","NA"
"87","Arabis_hirsuta","Arabis_hirsuta","Arabis_hirsuta","scientific name",78191,"Arabis_hirsuta","677278130","677278350","424949792","12002350","NA"
"88","Arabis_nova","Arabis_nova","Arabis_nova","scientific name",571360,"Arabis_nova","442093675","442093725","NA","NA","NA"
"89","Arabis_sagittata","Arabis_sagittata","Arabis_sagittata","scientific name",571369,"Arabis_sagittata","677278088","677278369","NA","NA","NA"
"90","Arabis_soyeri","Arabis_soyeri","Arabis_soyeri","scientific name",208901,"Arabis_soyeri_subsp__subcoriacea","6686537","NA","NA","NA","NA"
"91","Arabis_soyeri","Arabis_soyeri","Arabis_soyeri","scientific name",208901,"Arabis_soyeri","NA","37548255","NA","NA","NA"
"92","Arctium_minus","Arctium_minus","Arctium_minus","scientific name",143172,"Arctium_minus","910278991","60202354","500049495","379037986","NA"
"93","Arctostaphylos_uva-ursi","Arctostaphylos_uva_ursi","Arctostaphylos_uva_ursi","scientific name",84009,"Arctostaphylos_uva-ursi","4378594","226876642","545699013","33312244","6686865"
"94","Arenaria_serpyllifolia","Arenaria_serpyllifolia","Arenaria_serpyllifolia","scientific name",254029,"Arenaria_serpyllifolia","38305429","239837480","817991676","607344964","NA"
"95","Armeria_alpina","Armeria_alpina","Armeria_alpina","scientific name",71836,"Armeria_alpina","27904417","NA","NA","NA","NA"
"96","Armeria_arenaria","Armeria_arenaria","Armeria_arenaria","scientific name",218559,"Armeria_arenaria","NA","NA","733451914","NA","NA"
"97","Armeria_arenaria","Armeria_arenaria","Armeria_arenaria","scientific name",218559,"Armeria_arenaria_subsp__bilbilitana","27904420","NA","NA","NA","NA"
"98","Arnica_montana","Arnica_montana","Arnica_montana","scientific name",436207,"Arnica_montana","295413450","NA","557836623","NA","NA"
"99","Arrhenatherum_elatius","Arrhenatherum_elatius","Arrhenatherum_elatius","scientific name",52139,"Arrhenatherum_elatius","240017949","119553715","71056575","119553578","NA"
"100","Artemisia_absinthium","Artemisia_absinthium","Artemisia_absinthium","scientific name",72332,"Artemisia_absinthium_var__calcigena","290767677","NA","NA","NA","NA"
"101","Artemisia_absinthium","Artemisia_absinthium","Artemisia_absinthium","scientific name",72332,"Artemisia_absinthium","NA","564742883","379034101","379039408","NA"
