"Species,C,254","TAXREF,N,10,0","NUMCBNA,N,10,0","G_SP_SUBSP,C,150","Valid_LIB,C,150"
Bothriochloa_ischaemum,86169,0,Bothriochloa ischaemum,Bothriochloa_ischaemum
Botrychium_lunaria,86183,0,Botrychium lunaria,Botrychium_lunaria
Botrychium,189979,0,Botrychium,Botrychium
Brachypodium_pinnatum,86289,0,Brachypodium pinnatum,Brachypodium_pinnatum
Brachypodium_rupestre,86301,0,Brachypodium rupestre,Brachypodium_rupestre
Brachypodium_sylvaticum,86305,0,Brachypodium sylvaticum,Brachypodium_sylvaticum
Brassica_repanda,86429,0,Brassica repanda,Brassica_repanda
Briza_media,86490,0,Briza media,Briza_media
Bromus_benekenii,86511,0,Bromus benekenii,Bromopsis_benekenii
Bromus_erectus,86512,0,Bromus erectus,Bromopsis_erecta
Bromus_hordeaceus,132264,0,Bromus hordeaceus,Bromus_hordeaceus_subsp._thominei
Bromus_inermis,86513,0,Bromus inermis,Bromopsis_inermis
Bromus_squarrosus,86761,0,Bromus squarrosus,Bromus_squarrosus
Bromus_sterilis,82757,0,Bromus sterilis,Anisantha_sterilis
Bromus_tectorum,82758,0,Bromus tectorum,Anisantha_tectorum
Bryonia_cretica,159572,0,Bryonia cretica,Bryonia_cretica
Buddleja_davidii,86869,0,Buddleja davidii,Buddleja_davidii
Buglossoides_arvensis,86890,0,Buglossoides arvensis,Buglossoides_arvensis
Buglossoides_incrassata,610662,0,Buglossoides incrassata,Buglossoides_incrassata
Bunias_orientalis,86975,0,Bunias orientalis,Bunias_orientalis
Bunium_bulbocastanum,86983,0,Bunium bulbocastanum,Bunium_bulbocastanum
Buphthalmum_salicifolium,87009,0,Buphthalmum salicifolium,Buphthalmum_salicifolium
Bupleurum_falcatum,87044,0,Bupleurum falcatum,Bupleurum_falcatum
Bupleurum_petraeum,87082,0,Bupleurum petraeum,Bupleurum_petraeum
Bupleurum_ranunculoides,87091,0,Bupleurum ranunculoides,Bupleurum_ranunculoides
Bupleurum_rotundifolium,87095,0,Bupleurum rotundifolium,Bupleurum_rotundifolium
Bupleurum_stellatum,87100,0,Bupleurum stellatum,Bupleurum_stellatum
Buxus_sempervirens,87143,0,Buxus sempervirens,Buxus_sempervirens
Cacalia_alliariae,80183,0,Cacalia alliariae,Adenostyles_alliariae
Cacalia_alpina,80184,0,Cacalia alpina,Adenostyles_alpina
Cacalia_leucophylla,80190,0,Cacalia leucophylla,Adenostyles_leucophylla
Calamagrostis_epigejos,87227,0,Calamagrostis epigejos,Calamagrostis_epigejos
Calamagrostis_pseudophragmites,87269,0,Calamagrostis pseudophragmites,Calamagrostis_phragmitoides
Calamagrostis_schraderiana,80741,0,Calamagrostis schraderiana,Agrostis_schraderiana
Calamagrostis_varia,87296,0,Calamagrostis varia,Calamagrostis_varia
Calamagrostis_villosa,87299,0,Calamagrostis villosa,Calamagrostis_villosa
Calathiana_bavarica,99866,0,Calathiana bavarica,Gentiana_bavarica
Calathiana_brachyphylla,99870,0,Calathiana brachyphylla,Gentiana_brachyphylla
Calathiana_orbicularis,99914,0,Calathiana orbicularis,Gentiana_orbicularis
Calathiana_verna,99953,0,Calathiana verna,Gentiana_verna
Callianthemum_coriandrifolium,87453,0,Callianthemum coriandrifolium,Callianthemum_coriandrifolium
Calluna_vulgaris,87501,0,Calluna vulgaris,Calluna_vulgaris
Caltha_palustris,87540,0,Caltha palustris,Caltha_palustris
Calystegia_sepium,92353,0,Calystegia sepium,Convolvulus_sepium
Camelina_microcarpa,87577,0,Camelina microcarpa,Camelina_microcarpa
Campanula_alpestris,87604,0,Campanula alpestris,Campanula_alpestris
Campanula_cenisia,87604,0,Campanula cenisia,Campanula_alpestris
Campanula_glomerata,87652,0,Campanula glomerata,Campanula_glomerata
Campanula_latifolia,87666,0,Campanula latifolia,Campanula_latifolia
Campanula_linifolia,87733,0,Campanula linifolia,Campanula_stenocodon
Campanula,190272,0,Campanula,Campanula
Campanula_patula,87690,0,Campanula patula,Campanula_patula
Campanula_persicifolia,87693,0,Campanula persicifolia,Campanula_persicifolia
Campanula_rapunculoides,87711,0,Campanula rapunculoides,Campanula_rapunculoides
Campanula_rhomboidalis,87716,0,Campanula rhomboidalis,Campanula_rhomboidalis
Campanula_rotundifolia,87720,0,Campanula rotundifolia,Campanula_rotundifolia
Campanula_spicata,132482,0,Campanula spicata,Campanula_glomerata_subsp._glomerata
Campanula_trachelium,87742,0,Campanula trachelium,Campanula_trachelium
Capsella_bursa_pastoris,87849,0,Capsella bursa pastoris,Capsella_bursa-pastoris
Cardamine_alpina,87891,0,Cardamine alpina,Cardamine_alpina
Cardamine_bellidifolia,83402,0,Cardamine bellidifolia,Arabis_scabra
Cardamine_heptaphylla,87925,0,Cardamine heptaphylla,Cardamine_heptaphylla
Cardamine_hirsuta,87915,0,Cardamine hirsuta,Cardamine_flexuosa
Cardamine_impatiens,87933,0,Cardamine impatiens,Cardamine_impatiens
Cardamine_pentaphyllos,87961,0,Cardamine pentaphyllos,Cardamine_pentaphyllos
Cardamine_resedifolia,87970,0,Cardamine resedifolia,Cardamine_resedifolia
Carduus_acanthoides,88207,0,Carduus acanthoides,Carduus_tenuiflorus
Carduus_carlinifolius,132592,0,Carduus carlinifolius,Carduus_defloratus_subsp._carlinifolius
Carduus_defloratus,88108,0,Carduus defloratus,Carduus_defloratus
Carduus_medius,132595,0,Carduus medius,Carduus_defloratus_subsp._medius
Carduus_nutans,88167,0,Carduus nutans,Carduus_nutans
Carduus_personata,88178,0,Carduus personata,Carduus_personata
Carex_acutiformis,88571,0,Carex acutiformis,Carex_hispida
Carex_alba,88324,0,Carex alba,Carex_alba
Carex_atrata,88359,0,Carex atrata,Carex_atrata
Carex_bicolor,88380,0,Carex bicolor,Carex_bicolor
Carex_capillaris,88905,0,Carex capillaris,Carex_sylvatica
Carex_caryophyllea,88691,0,Carex caryophyllea,Carex_montana
Carex_cespitosa,88720,0,Carex cespitosa,Carex_nigra
Carex_chillanensis,88720,0,Carex chillanensis,Carex_nigra
Carex_davalliana,88459,0,Carex davalliana,Carex_davalliana
Carex_digitata,88470,0,Carex digitata,Carex_digitata
Carex_echinata,88571,0,Carex echinata,Carex_hispida
Carex_ferruginea,88504,0,Carex ferruginea,Carex_ferruginea
Carex_flacca,88510,0,Carex flacca,Carex_flacca
Carex_flava,88511,0,Carex flava,Carex_flava
Carex_foetida,88515,0,Carex foetida,Carex_foetida
Carex_frigida,88519,0,Carex frigida,Carex_frigida
Carex_hirta,88569,0,Carex hirta,Carex_hirta
Carex_hordeistichos,88576,0,Carex hordeistichos,Carex_hordeistichos
Carex_hostiana,88578,0,Carex hostiana,Carex_hostiana
Carex_humilis,88582,0,Carex humilis,Carex_humilis
Carex_liparocarpos,88637,0,Carex liparocarpos,Carex_liparocarpos
Carex_macloviana,0,0,Carex macloviana,
Carex_montana,88691,0,Carex montana,Carex_montana
Carex_muricata,88489,0,Carex muricata,Carex_echinata
Carex,190355,0,Carex,Carex
Carex_pallescens,88747,0,Carex pallescens,Carex_pallescens
Carex_panicea,88752,0,Carex panicea,Carex_panicea
Carex_planostachys,0,0,Carex planostachys,
Carex_rostrata,88840,0,Carex rostrata,Carex_rostrata
Carex_rupestris,88845,0,Carex rupestris,Carex_rupestris
Carex_spicata,88885,0,Carex spicata,Carex_spicata
Carex_sylvatica,88905,0,Carex sylvatica,Carex_sylvatica
Carex_vesicaria,88942,0,Carex vesicaria,Carex_vesicaria
Carex_viridula,88949,0,Carex viridula,Carex_viridula
Carex_vulpina,88952,0,Carex vulpina,Carex_vulpina
Carlina_acanthifolia,89145,0,Carlina acanthifolia,Carlina_acanthifolia
Carlina_acaulis,89147,0,Carlina acaulis,Carlina_acaulis
Carlina_biebersteinii,89149,0,Carlina biebersteinii,Carlina_biebersteinii
Carlina_vulgaris,89180,0,Carlina vulgaris,Carlina_vulgaris
Carum_carvi,89250,0,Carum carvi,Carum_carvi
Cassida_alpina,122062,0,Cassida alpina,Scutellaria_alpina
Catananche_caerulea,89330,0,Catananche caerulea,Catananche_caerulea
Caucalis_platycarpos,89415,0,Caucalis platycarpos,Caucalis_platycarpos
Cedrus_atlantica,89452,0,Cedrus atlantica,Cedrus_atlantica
Centaurea_jacea,89619,0,Centaurea jacea,Centaurea_jacea
Centaurea,190443,0,Centaurea,Centaurea
Centaurea_scabiosa,89697,0,Centaurea scabiosa,Centaurea_scabiosa
Centaurea_solstitialis,89710,0,Centaurea solstitialis,Centaurea_solstitialis
Centaurea_stoebe,89716,0,Centaurea stoebe,Centaurea_stoebe
Centaurea_uniflora,89730,0,Centaurea uniflora,Centaurea_uniflora
Centaurium_erythraea,89840,0,Centaurium erythraea,Centaurium_erythraea
Centranthus_angustifolius,89880,0,Centranthus angustifolius,Centranthus_angustifolius
Centranthus_calcitrapae,89881,0,Centranthus calcitrapae,Centranthus_calcitrapae
Cephalanthera_damasonium,89920,0,Cephalanthera damasonium,Cephalanthera_damasonium
Cephalanthera_longifolia,89926,0,Cephalanthera longifolia,Cephalanthera_longifolia
Cephalaria_alpina,89936,0,Cephalaria alpina,Cephalaria_alpina
Cerastium_alpinum,89960,0,Cerastium alpinum,Cerastium_alpinum
Cerastium_arvense,89968,0,Cerastium arvense,Cerastium_arvense
Cerastium_cerastoides,89986,0,Cerastium cerastoides,Cerastium_cerastoides
Cerastium_fontanum,90008,0,Cerastium fontanum,Cerastium_fontanum
Cerastium_latifolium,90042,0,Cerastium latifolium,Cerastium_latifolium
Cerastium_pedunculatum,90071,0,Cerastium pedunculatum,Cerastium_pedunculatum
Cerastium_pumilum,90076,0,Cerastium pumilum,Cerastium_pumilum
Cerastium_semidecandrum,90091,0,Cerastium semidecandrum,Cerastium_semidecandrum
Cerastium_uniflorum,90116,0,Cerastium uniflorum,Cerastium_uniflorum
Cerasus_avium,116043,0,Cerasus avium,Prunus_avium
Cerinthe_glabra,90251,0,Cerinthe glabra,Cerinthe_glabra
Cerinthe_minor,90259,0,Cerinthe minor,Cerinthe_minor
Chaenorhinum_rubrifolium,0,0,Chaenorhinum rubrifolium,
Chaenorrhinum_minus,90316,0,Chaenorrhinum minus,Chaenorrhinum_minus
Chaerophyllum_aureum,90328,0,Chaerophyllum aureum,Chaerophyllum_aureum
Chaerophyllum_temulum,90356,0,Chaerophyllum temulum,Chaerophyllum_temulum
Chaerophyllum_villarsii,90359,0,Chaerophyllum villarsii,Chaerophyllum_villarsii
Chamaedrys_montana,126008,0,Chamaedrys montana,Teucrium_montanum
Chamaenerion_montanum,96208,0,Chamaenerion montanum,Epilobium_montanum
Chamerion_dodonaei,96163,0,Chamerion dodonaei,Epilobium_dodonaei
Chamorchis_alpina,90561,0,Chamorchis alpina,Chamorchis_alpina
Chara_Linnaeus,0,0,Chara Linnaeus,
Chelidonium_majus,90669,0,Chelidonium majus,Chelidonium_majus
Chenopodium_album,90681,0,Chenopodium album,Chenopodium_album
Chenopodium_bonus_henricus,86107,0,Chenopodium bonus henricus,Blitum_bonus-henricus
Chondrilla_juncea,90954,0,Chondrilla juncea,Chondrilla_juncea
Chrysosplenium_alternifolium,91118,0,Chrysosplenium alternifolium,Chrysosplenium_alternifolium
Cichorium_intybus,91169,0,Cichorium intybus,Cichorium_intybus
Cirsium_acaule,621080,0,Cirsium acaule,Cirsium_acaulon
Cirsium_arvense,91289,0,Cirsium arvense,Cirsium_arvense
Cirsium_eriophorum,91327,0,Cirsium eriophorum,Cirsium_eriophorum
Cirsium_monspessulanum,91369,0,Cirsium monspessulanum,Cirsium_monspessulanum
Cirsium,190854,0,Cirsium,Cirsium
Cirsium_palustre,91382,0,Cirsium palustre,Cirsium_palustre
Cirsium_spinosissimum,91410,0,Cirsium spinosissimum,Cirsium_spinosissimum
Cirsium_vulgare,91430,0,Cirsium vulgare,Cirsium_vulgare
Cladium_mariscus,91823,0,Cladium mariscus,Cladium_mariscus
Clematis_vitalba,91886,0,Clematis vitalba,Clematis_vitalba
Clinopodium_acinos,91898,0,Clinopodium acinos,Clinopodium_acinos
Clinopodium_alpinum,91900,0,Clinopodium alpinum,Clinopodium_alpinum
Clinopodium_grandiflorum,91904,0,Clinopodium grandiflorum,Clinopodium_grandiflorum
Clinopodium_nepeta,91910,0,Clinopodium nepeta,Clinopodium_nepeta
Clinopodium_vulgare,91912,0,Clinopodium vulgare,Clinopodium_vulgare
Coincya_monensis,92106,0,Coincya monensis,Coincya_monensis
Coincya_richeri,92107,0,Coincya richeri,Coincya_richeri
Colchicum_alpinum,92124,0,Colchicum alpinum,Colchicum_alpinum
