"","pezalps.TNRS$phy$tip.label","rep(1, length(pezalps.TNRS$phy$tip.label))","Valid_LIB.C.150","endemic.TNRS","Ecrins NP","Summits","Persistent","Under Ice","Plat de la Selle","Barre des Ecrins","La Meije","Sirac","Rouies","Olan","Pelvoux","Occidentale Ailefroide","Brevoort","Burlan","Rocher de la Selle","Choisy","Muraillette","Rateau","Lauvitel"
"19","Aethionema_saxatile",1,"Aethionema_saxatile","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20","Aethusa_cynapium",1,"Aethusa_cynapium","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21","Agrimonia_eupatoria",1,"Agrimonia_eupatoria","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22","Agrostis_capillaris",1,"Agrostis_capillaris","0",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"23","Agrostis_stolonifera",1,"Agrostis_stolonifera","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24","Ajuga_chamaepitys",1,"Ajuga_chamaepitys","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25","Ajuga_reptans",1,"Ajuga_reptans","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26","Alchemilla_alpina",1,"Alchemilla_alpina","0",1,1,1,1,1,0,1,1,1,1,0,0,0,0,1,0,0,1,1
"27","Alchemilla_fissa",1,"Alchemilla_fissa","0",1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1
"28","Alchemilla_flabellata",1,"Alchemilla_flabellata","0",1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1
"29","Alchemilla_glabra",1,"Alchemilla_glabra","0",1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
"30","Alchemilla_glaucescens",1,"Alchemilla_glaucescens","0",1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"31","Alchemilla_incisa",1,"Alchemilla_incisa","0",1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"32","Alchemilla_pentaphyllea",1,"Alchemilla_pentaphyllea","0",1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0
"33","Alchemilla_plicata",1,"Alchemilla_plicata","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Alchemilla_saxatilis",1,"Alchemilla_saxatilis","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35","Alchemilla_transiens",1,"Alchemilla_transiens","0",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
"36","Alchemilla_xanthochlora",1,"Alchemilla_xanthochlora","0",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"37","Alisma_plantago_aquatica",1,"Alisma_plantago-aquatica","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","Alliaria_petiolata",1,"Alliaria_petiolata","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39","Allium_lineare",1,"Allium_strictum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","Allium_oleraceum",1,"Allium_oleraceum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41","Allium_schoenoprasum",1,"Allium_schoenoprasum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42","Allium_scorodoprasum",1,"Allium_scorodoprasum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","Allium_senescens",1,"Allium_lusitanicum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44","Allium_ursinum",1,"Allium_ursinum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45","Allium_victorialis",1,"Allium_victorialis","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","Alnus_glutinosa",1,"Alnus_glutinosa","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","Alnus_incana",1,"Alnus_incana","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","Alnus_viridis",1,"Alnus_alnobetula","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","Alopecurus_myosuroides",1,"Alopecurus_myosuroides","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","Alyssoides_utriculata",1,"Alyssoides_utriculata","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","Alyssum_alpestre",1,"Alyssum_alpestre","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","Alyssum_alyssoides",1,"Alyssum_alyssoides","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","Amelanchier_ovalis",1,"Amelanchier_ovalis","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"54","Amygdalus_communis",1,"Prunus_dulcis","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"55","Androsace_helvetica",1,"Androsace_helvetica","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"56","Androsace_maxima",1,"Androsace_maxima","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"57","Androsace_obtusifolia",1,"Androsace_obtusifolia","0",1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"58","Androsace_vandellii",1,"Androsace_vandellii","0",1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0
"59","Anemone_narcissiflora",1,"Anemone_narcissiflora","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"60","Angelica_sylvestris",1,"Angelica_sylvestris","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"61","Antennaria_carpatica",1,"Antennaria_carpatica","0",1,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0
"62","Antennaria_dioica",1,"Antennaria_dioica","0",1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0
"63","Anthericum_liliago",1,"Anthericum_liliago","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64","Anthoxanthum_odoratum",1,"Anthoxanthum_odoratum","0",1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,0,1,1
"65","Anthriscus_sylvestris",1,"Anthriscus_sylvestris","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66","Anthyllis_montana",1,"Anthyllis_montana","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"67","Anthyllis_vulneraria",1,"Anthyllis_vulneraria","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68","Antirrhinum_majus",1,"Antirrhinum_majus","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"69","Aquilegia_vulgaris",1,"Aquilegia_vulgaris","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"70","Arabidopsis_thaliana",1,"Arabidopsis_thaliana","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"71","Arabis_alpina",1,"Arabis_caucasica","0",1,1,1,1,0,0,1,1,1,1,0,0,0,0,1,0,0,1,1
"72","Arabis_auriculata",1,"Arabis_auriculata","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"73","Arabis_caerulea",1,"Arabis_caerulea","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74","Arabis_ciliata",1,"Arabis_ciliata","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"75","Arabis_collina",1,"Arabis_collina","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76","Arabis_hirsuta",1,"Arabis_ciliata_var._hirsuta","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"77","Arabis_nova",1,"Arabis_nova","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78","Arabis_sagittata",1,"Arabis_sagittata","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79","Arabis_soyeri",1,"Arabis_soyeri","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80","Arctium_minus",1,"Arctium_minus","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81","Arctostaphylos_uva_ursi",1,"Arctostaphylos_uva-ursi","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
