"","Combined.Name","GENRE","x","ESPECE","RG","SUBSP.","END.","DIST.","NF","NG","NE","NI","X","Valid_LIB.C.150","Alien_origin","rep.1..length.pezAlpes.phy.tip.label..","Endemic","Ecrins.NP","Summits","Persistent","Under.Ice","Plat.de.la.Selle","Barre.des.Ecrins","La.Meije","Sirac","Rouies","Olan","Pelvoux","Occidentale.Ailefroide","Brevoort","Burlan","Rocher.de.la.Selle","Choisy","Muraillette","Rateau","Lauvitel"
"27","Cerastium_pedunculatum","Cerastium","","pedunculatum","","","End.","Alp.",38,8,11,NA,306,"Cerastium_pedunculatum","",0,1,1,1,1,1,0,1,1,0,1,1,0,1,0,0,1,0,1,1,1
"28","Cirsium_spinosissimum","Cirsium","","spinosissimum","","","End.","Alp.",124,61,12,NA,328,"Cirsium_spinosissimum","",1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,1
"29","Coincya_richeri","Coincya","","richeri","","","End.","W-Alp.",54,63,1,NA,339,"Coincya_richeri","",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30","Dactylis_glomerata","Dactylis","","glomerata","subsp.    ","reichenbachii","End.","E-Alp.",139,9,1,3,388,"Dactylis_glomerata","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31","Dianthus_carthusianorum","Dianthus","","carthusianorum","subsp.    ","vaginatus","End.","Alp.",38,29,5,5,406,"Dianthus_carthusianorum","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32","Dianthus_carthusianorum","Dianthus","","carthusianorum","subsp.    ","capillifrons","Subend.","E-Alp.",38,29,5,3,406,"Dianthus_carthusianorum","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33","Dianthus_pavonius","Dianthus","","pavonius","","","End.","W-Alp.",38,29,13,NA,410,"Dianthus_pavonius","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34","Draba_aizoides","Draba","","aizoides","subsp.    ","beckeri","Subend.","E-Alp./Carpat.",54,37,1,2,418,"Draba_aizoides","",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
"35","Erigeron_neglectus","Erigeron","","neglectus","","","End.","Alp.",124,6,7,NA,469,"Erigeron_neglectus","",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36","Erysimum_jugicola","Erysimum","","jugicola","","","End.","W-Alp.",54,11,5,NA,484,"Erysimum_jugicola","",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37","Erysimum_rhaeticum","Erysimum","","rhaeticum","","","End.?","Alp.",54,11,6,NA,486,"Erysimum_rhaeticum","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38","Festuca_acuminata","Festuca","","acuminata","","","End.","W-Alp.",139,1,16,NA,506,"Festuca_acuminata","",0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1
"39","Festuca_flavescens","Festuca","","flavescens","","","End.","W-Alp.",139,1,12,NA,508,"Festuca_flavescens","",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40","Festuca_halleri","Festuca","","halleri","subsp.    ","halleri","End.","Alp.",139,1,32,1,509,"Festuca_halleri","",1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1,1
"41","Festuca_melanopsis","Festuca","","melanopsis","","","End.","Alp.",139,1,24,NA,512,"Festuca_melanopsis","",1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"42","Galium_megalospermum","Galium","","megalospermum","","","End.","Alp.",119,4,36,NA,535,"Galium_megalospermum","",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43","Galium_pseudohelveticum","Galium","","pseudohelveticum","","","End.","W-Alp.",119,4,35,NA,539,"Galium_pseudohelveticum","",0,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1
"44","Geranium_rivulare","Geranium","","rivulare","","","Subend.","Alp.",93,1,6,NA,567,"Geranium_rivulare","",0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"45","Hedysarum_hedysaroides","Hedysarum","","hedysaroides","subsp.    ","exaltatum","End.","E-Alp.",64,41,2,2,592,"Hedysarum_hedysaroides","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46","Helictotrichon_sempervirens","Helictotrichon","","sempervirens","","","End.","W-Alp.",139,32,6,NA,601,"Helictotrichon_sempervirens","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"47","Hieracium_intybaceum","Hieracium","","intybaceum","","","Subend.","Alp.",124,99,32,NA,615,"Hieracium_intybaceum","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"48","Holosteum_umbellatum","Holosteum","","umbellatum","subsp.    ","hirsutum","End.","W-Alp.",38,7,1,2,635,"Holosteum_umbellatum","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"49","Knautia_dipsacifolia","Knautia","","dipsacifolia","subsp.    ","sixtina","End.","W-Alp.",123,5,2,2,683,"Knautia_dipsacifolia","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"50","Koeleria_cenisia","Koeleria","","cenisia","","","End.","W-Alp.",139,36,2,NA,684,"Koeleria_cenisia","",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"51","Laserpitium_halleri","Laserpitium","","halleri","","","End.","Alp.",97,59,6,NA,702,"Laserpitium_halleri","",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"52","Leucanthemum_atratum","Leucanthemum","","atratum","subsp.    ","lithopolitanicum","End.","E-Alp.",124,39,8,6,720,"Leucanthemum_atratum","",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"53","Leucanthemum_atratum","Leucanthemum","","atratum","subsp.    ","atratum","End.","E-Alp.",124,39,8,1,720,"Leucanthemum_atratum","",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
