"","taxized","persistant","underIce","n","aiguille du plat de la selle","barre des Ecrins","brèche de valsenestre","brèche du râteau","la meije","le râteau","le sirac","les rouies","l'olan","mont pelvoux","occidentale l'ailefroide","pic du clapier du peyron","pic ouest (le rateau)","pointe brevoort","pointes de burlan","rocher de la selle","signal du lauvitel","tour choisy","tête de la muraillette"
"290","Adenostyles alpina","0","0",25,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"291","Adenostyles leucophylla","0","0",42,"0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","5","0","0","0"
"292","Adonis aestivalis","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"293","Adoxa moschatellina","0","0",9,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"294","Aegopodium podagraria","0","0",34,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"295","Aethionema saxatile","0","0",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"296","Aethusa cynapium","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"297","Agrimonia eupatoria","0","0",11,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"298","Agrostis stolonifera","0","0",20,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"299","Ajuga chamaepitys","0","0",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"300","Ajuga genevensis","0","0",8,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"301","Ajuga pyramidalis","0","0",12,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"302","Ajuga reptans","0","0",25,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"303","Alchemilla conjuncta","0","0",12,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"304","Alchemilla connivens","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"305","Alchemilla gracilis","0","0",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"306","Alchemilla incisa","0","0",18,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0"
"307","Alchemilla monticola","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"308","Alchemilla plicata","0","0",7,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"309","Alchemilla saxatilis","0","0",21,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"310","Alchemilla subcrenata","0","0",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"311","Alisma plantago-aquatica","0","0",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"312","Alliaria petiolata","0","0",11,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"313","Allium lineare","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"314","Allium oleraceum","0","0",29,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"315","Allium schoenoprasum","0","0",11,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"316","Allium scorodoprasum","0","0",9,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"317","Allium senescens","0","0",8,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"318","Allium tauricum","0","0",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"319","Allium ursinum","0","0",8,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"320","Allium victorialis","0","0",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"321","Alnus glutinosa","0","0",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"322","Alnus incana","0","0",30,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"323","Alnus viridis","0","0",82,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"324","Alopecurus myosuroides","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"325","Alyssoides utriculata","0","0",9,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"326","Alyssum alpestre","0","0",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"327","Alyssum alyssoides","0","0",10,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"328","Amelanchier ovalis","0","0",106,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"329","Amygdalus communis","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"330","Androrchis pallens","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"331","Androsace carnea","0","0",34,"0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0"
"332","Androsace helvetica","0","0",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"333","Androsace maxima","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"334","Anemone narcissiflora","0","0",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"335","Anemonoides ranunculoides","0","0",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"336","Angelica sylvestris","0","0",18,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"337","Anthericum liliago","0","0",47,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"338","Anthriscus sylvestris","0","0",16,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"339","Anthyllis montana","0","0",9,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"340","Anthyllis vulneraria","0","0",93,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"341","Antirrhinum majus","0","0",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"342","Aquilegia vulgaris","0","0",23,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"343","Arabidopsis thaliana","0","0",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"344","Arabis allionii","0","0",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"345","Arabis auriculata","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"346","Arabis caerulea","0","0",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"347","Arabis ciliata","0","0",19,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"348","Arabis collina","0","0",7,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"349","Arabis hirsuta","0","0",16,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"350","Arabis nova","0","0",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"351","Arabis sagittata","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"352","Arabis soyeri","0","0",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"353","Arctium minus","0","0",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"354","Arctium nemorosum","0","0",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"355","Arctostaphylos uva-ursi","0","0",49,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"356","Arenaria gothica","0","0",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"357","Arenaria serpyllifolia","0","0",22,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"358","Armeria arenaria","0","0",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"359","Arnica montana","0","0",23,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"360","Arrhenatherum elatius","0","0",65,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"361","Arrhenatherum parlatorei","0","0",36,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"362","Artemisia absinthium","0","0",9,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"363","Artemisia alba","0","0",21,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"364","Artemisia atrata","0","0",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"365","Artemisia campestris","0","0",16,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"366","Artemisia vulgaris","0","0",17,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"367","Arum maculatum","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"368","Aruncus dioicus","0","0",11,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"369","Asarum europaeum","0","0",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"370","Asparagus tenuifolius","0","0",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"371","Asperugo procumbens","0","0",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"372","Asperula cynanchica","0","0",38,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"373","Asphodelus albus","0","0",57,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"374","Asphodelus macrocarpus","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"375","Asplenium ceterach","0","0",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"376","Asplenium exiguum","0","0",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"377","Asplenium ruta-muraria","0","0",11,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"378","Astragalus austriacus","0","0",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"379","Astragalus cicer","0","0",7,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"380","Astragalus danicus","0","0",15,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"381","Astragalus depressus","0","0",7,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"382","Astragalus glycyphyllos","0","0",8,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"383","Astragalus monspessulanus","0","0",21,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"384","Astragalus onobrychis","0","0",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"385","Astragalus penduliflorus","0","0",8,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"386","Astragalus sempervirens","0","0",19,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"387","Astragalus stella","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"388","Astragalus vesicarius","0","0",10,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"389","Athyrium alpestre","0","0",8,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"390","Athyrium filix-femina","0","0",16,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"391","Atragene alpina","0","0",19,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"392","Atropa belladonna","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"393","Aucuba NA","0","0",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"394","Barbarea intermedia","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"395","Barbarea vulgaris","0","0",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"396","Bellardiochloa variegata","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"397","Bellidiastrum michelii","0","0",38,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"398","Berberis vulgaris","0","0",65,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"399","Betonica officinalis","0","0",12,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"400","Betula pendula","0","0",68,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"401","Betula pubescens","0","0",11,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"402","Biscutella laevigata","0","0",47,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"403","Bistorta officinalis","0","0",14,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"404","Bitteria digitata","0","0",19,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"405","Blackstonia perfoliata","0","0",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"406","Blechnum spicant","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"407","Blysmus compressus","0","0",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"408","Bombycilaena erecta","0","0",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"409","Bothriochloa ischaemum","0","0",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"410","Botrychium NA","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"411","Brachypodium pinnatum","0","0",20,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"412","Brachypodium rupestre","0","0",134,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"413","Brachypodium sylvaticum","0","0",25,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"414","Brassica repanda","0","0",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"415","Briza media","0","0",89,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"416","Bromus benekenii","0","0",13,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"417","Bromus erectus","0","0",77,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"418","Bromus hordeaceus","0","0",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"419","Bromus inermis","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"420","Bromus squarrosus","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"421","Bromus sterilis","0","0",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"422","Bromus tectorum","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"423","Bryonia cretica","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"424","Buddleja davidii","0","0",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"425","Buglossoides arvensis","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"426","Buglossoides incrassata","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"427","Bunias orientalis","0","0",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"428","Bunium bulbocastanum","0","0",56,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"429","Buphthalmum salicifolium","0","0",38,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"430","Bupleurum falcatum","0","0",68,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"431","Bupleurum petraeum","0","0",8,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"432","Bupleurum ranunculoides","0","0",12,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"433","Bupleurum rotundifolium","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"434","Buxus sempervirens","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"435","Calamagrostis epigejos","0","0",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"436","Calamagrostis pseudophragmites","0","0",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"437","Calamagrostis schraderiana","0","0",45,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"438","Calamagrostis varia","0","0",74,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"439","Calamagrostis villosa","0","0",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"440","Calathiana bavarica","0","0",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"441","Calathiana orbicularis","0","0",10,"0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0"
"442","Calathiana verna","0","0",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"443","Calluna vulgaris","0","0",34,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"444","Caltha palustris","0","0",12,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"445","Calystegia sepium","0","0",10,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"446","Camelina microcarpa","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"447","Campanula alpestris","0","0",7,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"448","Campanula glomerata","0","0",8,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"449","Campanula latifolia","0","0",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"450","Campanula NA","0","0",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"451","Campanula patula","0","0",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"452","Campanula persicifolia","0","0",9,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"453","Campanula rapunculoides","0","0",13,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"454","Campanula spicata","0","0",7,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"455","Campanula trachelium","0","0",9,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"456","Cardamine alpina","0","0",14,"0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"457","Cardamine heptaphylla","0","0",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"458","Cardamine hirsuta","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"459","Cardamine impatiens","0","0",10,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"460","Cardamine pentaphyllos","0","0",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"461","Carduus acanthoides","0","0",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"462","Carduus carlinifolius","0","0",23,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"463","Carduus defloratus","0","0",69,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0"
"464","Carduus nutans","0","0",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"465","Carduus personata","0","0",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"466","Carex acutiformis","0","0",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"467","Carex alba","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"468","Carex capillaris","0","0",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"469","Carex caryophyllea","0","0",18,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"470","Carex cespitosa","0","0",11,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"471","Carex chillanensis","0","0",12,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"472","Carex davalliana","0","0",15,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"473","Carex echinata","0","0",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"474","Carex flacca","0","0",36,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"475","Carex flava","0","0",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"476","Carex hirta","0","0",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"477","Carex hordeistichos","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"478","Carex hostiana","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"479","Carex humilis","0","0",8,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"480","Carex liparocarpos","0","0",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"481","Carex macloviana","0","0",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"482","Carex montana","0","0",9,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"483","Carex muricata","0","0",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"484","Carex NA","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"485","Carex pallescens","0","0",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"486","Carex panicea","0","0",15,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"487","Carex planostachys","0","0",17,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"488","Carex rostrata","0","0",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"489","Carex spicata","0","0",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"490","Carex sylvatica","0","0",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"491","Carex vesicaria","0","0",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"492","Carex viridula","0","0",9,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"493","Carex vulpina","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"494","Carlina acanthifolia","0","0",16,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"495","Carlina acaulis","0","0",126,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"496","Carlina biebersteinii","0","0",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"497","Carlina vulgaris","0","0",8,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"498","Carum carvi","0","0",23,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"499","Catananche caerulea","0","0",9,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"500","Caucalis platycarpos","0","0",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"501","Cedrus atlantica","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"502","Centaurea jacea","0","0",25,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"503","Centaurea NA","0","0",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"504","Centaurea scabiosa","0","0",47,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"505","Centaurea solstitialis","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"506","Centaurea stoebe","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"507","Centaurium erythraea","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"508","Centranthus angustifolius","0","0",13,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"509","Centranthus calcitrapae","0","0",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"510","Cephalanthera damasonium","0","0",8,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"511","Cephalanthera longifolia","0","0",14,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"512","Cephalaria alpina","0","0",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"513","Cerastium fontanum","0","0",12,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"514","Cerastium pumilum","0","0",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"515","Cerastium semidecandrum","0","0",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"516","Cerasus avium","0","0",25,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"517","Cerinthe glabra","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"518","Cerinthe minor","0","0",13,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"519","Chaenorhinum minus","0","0",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"520","Chaenorhinum rubrifolium","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"521","Chaerophyllum aureum","0","0",12,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"522","Chaerophyllum temulum","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"523","Chaerophyllum villarsii","0","0",96,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"524","Chamaedrys montana","0","0",22,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
