"","taxized","persistant","underIce","n","aiguille du plat de la selle","barre des Ecrins","brèche de valsenestre","brèche du râteau","la meije","le râteau","le sirac","les rouies","l'olan","mont pelvoux","occidentale l'ailefroide","pic du clapier du peyron","pic ouest (le rateau)","pointe brevoort","pointes de burlan","rocher de la selle","signal du lauvitel","tour choisy","tête de la muraillette"
"1079","Potentilla neumanniana","0","0",58,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1080","Potentilla nivalis","0","0",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0"
"1081","Potentilla reptans","0","0",7,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1082","Potentilla rupestris","0","0",22,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1083","Prenanthes purpurea","0","0",27,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1084","Primula elatior","0","0",10,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1085","Primula farinosa","0","0",16,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1086","Primula latifolia","0","0",4,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1087","Primula veris","0","0",52,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1088","Primula vulgaris","0","0",12,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1089","Prunella grandiflora","0","0",19,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1090","Prunella laciniata","0","0",6,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1091","Prunella vulgaris","0","0",28,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1092","Prunus domestica","0","0",3,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1093","Prunus mahaleb","0","0",25,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1094","Prunus spinosa","0","0",25,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1095","Pseudorchis albida","0","0",5,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1096","Pseudoturritis turrita","0","0",7,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1097","Ptarmica macrophylla","0","0",19,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1098","Pteridium aquilinum","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1099","Pteroselinum austriacum","0","0",2,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1100","Ptychotis saxifraga","0","0",1,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1101","Pulmonaria angustifolia","0","0",50,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
