"","Row.names","Endemic","Ecrins NP","Summits","Persistent","Under Ice","Plat de la Selle","Barre des Ecrins","La Meije","Sirac","Rouies","Olan","Pelvoux","Occidentale Ailefroide","Brevoort","Burlan","Rocher de la Selle","Choisy","Muraillette","Rateau","Lauvitel"
"655","Hippophae_rhamnoides","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"656","Holcus_lanatus","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"657","Holosteum_umbellatum","1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"658","Homogyne_alpina","0",1,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
"659","Hordelymus_europaeus","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"660","Hordeum_marinum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"661","Hornungia_alpina","1",1,1,1,1,0,1,1,0,1,1,0,0,0,0,1,1,1,1,1
"662","Humulus_lupulus","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"663","Huperzia_selago","0",1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"664","Hylotelephium_NA","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"665","Hylotelephium_telephium","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"666","Hyoscyamus_niger","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"667","Hypericum_hirsutum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"668","Hypericum_maculatum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"669","Hypericum_montanum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"670","Hypericum_perforatum","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"671","Hypericum_richeri","0",1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"672","Hypochaeris_maculata","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"673","Hypochaeris_radicata","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"674","Hyssopus_officinalis","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"675","Iberis_pinnata","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"676","Ilex_aquifolium","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"677","Impatiens_glandulifera","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"678","Imperatoria_ostruthium","0",1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"679","Inula_conyza","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"680","Inula_montana","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"681","Isatis_tinctoria","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"682","Ixoca_pusilla","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"683","Jacobaea_incana","0",1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1
"684","Jasione_montana","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"685","Jonorchis_abortiva","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"686","Juglans_nigra","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"687","Juglans_regia","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"688","Juncus_alpinoarticulatus","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"689","Juncus_arcticus","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"690","Juncus_articulatus","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"691","Juncus_bufonius","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"692","Juncus_compressus","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"693","Juncus_effusus","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"694","Juncus_filiformis","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"695","Juncus_inflexus","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"696","Juncus_jacquini","0",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"697","Juncus_trifidus","0",1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1
"698","Juncus_triglumis","0",1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"699","Juniperus_communis","0",1,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0
"700","Juniperus_sabina","0",1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
