"","taxized","combinedname","Combined.Name","GENRE","x","ESPECE","RG","SUBSP.","END.","DIST.","NF","NG","NE","NI"
"154","Euphrasia tricuspidata","Euphrasia tricuspidata NA","Euphrasia tricuspidata","Euphrasia","","tricuspidata","","","End.","E-Alp.","114","22","17",NA
"155","Favratia zoysii","Favratia zoysii","Campanula zoysii","Campanula","","zoysii","","","End.","E-Alp.","118","1","2",NA
"156","Festuca acuminata","Festuca acuminata NA","Festuca acuminata","Festuca","","acuminata","","","End.","W-Alp.","139","1","16",NA
"157","Festuca alpestris","Festuca alpestris NA","Festuca alpestris","Festuca","","alpestris","","","End.","E-Alp.","139","1","11",NA
"158","Festuca amethystina","Festuca amethystina var. norica","Festuca norica","Festuca","","norica","","","End.","E-Alp.","139","1","19",NA
"159","Festuca austrodolomitica","Festuca austrodolomitica NA","Festuca austrodolomitica","Festuca","","austrodolomitica","","","End.","E-Alp.","139","1","34",NA
"160","Festuca breistrofferi","Festuca breistrofferi NA","Festuca breistrofferi","Festuca","","breistrofferi","","","End.","W-Alp.","139","1","50",NA
"161","Festuca chalcophaea","Festuca chalcophaea","Festuca violacea","Festuca","","violacea","","","End.","W-Alp.","139","1","22",NA
"162","Festuca eggleri","Festuca eggleri NA","Festuca eggleri","Festuca","","eggleri","","","End.","E-Alp.","139","1","44",NA
"163","Festuca flavescens","Festuca flavescens NA","Festuca flavescens","Festuca","","flavescens","","","End.","W-Alp.","139","1","12",NA
"164","Festuca halleri","Festuca halleri NA","Festuca halleri","Festuca","","halleri","subsp.    ","halleri","End.","Alp.","139","1","32","1"
"165","Festuca intercedens","Festuca intercedens","Festuca intercedens","Festuca","","intercedens","","","End.","Alp.","139","1","31",NA
"166","Festuca melanopsis","Festuca melanopsis NA","Festuca melanopsis","Festuca","","melanopsis","","","End.","Alp.","139","1","24",NA
"167","Festuca pseudodura","Festuca pseudodura NA","Festuca pseudodura","Festuca","","pseudodura","","","End.?","E-Alp.","139","1","37",NA
"168","Festuca rupicaprina","Festuca rupicaprina NA","Festuca rupicaprina","Festuca","","rupicaprina","","","End.","E-Alp.","139","1","33",NA
"169","Festuca scabriculmis","Festuca scabriculmis NA","Festuca scabriculmis","Festuca","","scabriculmis","subsp.    ","luedii","End.","Alp.","139","1","13","2"
"170","Festuca ticenensis","Festuca ticenensis","Festuca ticinensis","Festuca","","ticinensis","","","End.","S-Alp.","139","1","52",NA
"171","Festuca varia","Festuca varia subvar. calva","Festuca calva","Festuca","","calva","","","End.","E-Alp.","139","1","18",NA
"172","Festuca versicolor","Festuca versicolor","Festuca brachystachys","Festuca","","brachystachys","subsp.    ","brachystachys","End.","E-Alp.","139","1","15","1"
"173","Fritillaria tubiformis","Fritillaria tubiformis NA","Fritillaria tubiformis","Fritillaria","","tubiformis","","","End.","W-Alp.","143","14","2",NA
