Combined Name,GENRE,x,ESPECE,RG,SUBSP.,END.,DIST.,NF,NG,NE,NI
Draba sauteri,Draba,,sauteri,,,End.,E-Alp.,54,37,6,
Draba stellata,Draba,,stellata,,,End.,E-Alp.,54,37,8,
Draba thomasii,Draba,,thomasii,,,End.?,Alp./(Cauc.?),54,37,16,
Ephedra helvetica,Ephedra,,helvetica,,,End.?,W-Alp.,13,1,2,
Epilobium fleischeri,Epilobium,,fleischeri,,,End.,Alp.,72,4,3,
Erigeron candidus,Erigeron,,candidus,,,End.,E-Alp.,124,6,10,
Erigeron neglectus,Erigeron,,neglectus,,,End.,Alp.,124,6,7,
Erodium rodiei,Erodium,,rodiei,,,End.,W-Alp.,93,2,4,
Eryngium spinalba,Eryngium,,spinalba,,,End.,W-Alp.,97,5,2,
Erysimum aurantiacum,Erysimum,,aurantiacum,,,End.,E-Alp.,54,11,3,
Erysimum burnatii,Erysimum,,burnatii,,,End.,W-Alp.,54,11,7,
Erysimum jugicola,Erysimum,,jugicola,,,End.,W-Alp.,54,11,5,
Erysimum montosicola,Erysimum,,montosicola,,,End.,W-Alp.,54,11,4,
Erysimum rhaeticum,Erysimum,,rhaeticum,,,End.?,Alp.,54,11,6,
Euphorbia austriaca,Euphorbia,,austriaca,,,End.,E-Alp.,80,3,8,
Euphorbia hyberna,Euphorbia,,hyberna,subsp.    ,canuti,End.,W-Alp.,80,3,10,1
Euphorbia saxatilis,Euphorbia,,saxatilis,,,End.,E-Alp.,80,3,32,
Euphorbia triflora,Euphorbia,,triflora,subsp.    ,kerneri,End.,E-Alp.,80,3,31,1
Euphorbia valliniana,Euphorbia,,valliniana,,,End.,W-Alp.,80,3,33,
Euphorbia variabilis,Euphorbia,,variabilis,,,End.,E-Alp.,80,3,34,
Euphrasia christii,Euphrasia,,christii,,,End.,W-Alp.,114,22,8,
Euphrasia cisalpina,Euphrasia,,cisalpina,,,End.,W-Alp.,114,22,9,
Euphrasia inopinata,Euphrasia,,inopinata,,,End.,Alp.,114,22,11,
Euphrasia portae,Euphrasia,,portae,,,Subend.,E-Alp.,114,22,15,
Euphrasia sinuata,Euphrasia,,sinuata,,,End.,Alp.,114,22,12,
Euphrasia tricuspidata,Euphrasia,,tricuspidata,,,End.,E-Alp.,114,22,17,
Festuca acuminata,Festuca,,acuminata,,,End.,W-Alp.,139,1,16,
Festuca alpestris,Festuca,,alpestris,,,End.,E-Alp.,139,1,11,
Festuca austrodolomitica,Festuca,,austrodolomitica,,,End.,E-Alp.,139,1,34,
Festuca brachystachys,Festuca,,brachystachys,subsp.    ,brachystachys,End.,E-Alp.,139,1,15,1
Festuca brachystachys,Festuca,,brachystachys,subsp.    ,pallidula,End.,E-Alp.,139,1,15,2
Festuca breistrofferi,Festuca,,breistrofferi,,,End.,W-Alp.,139,1,50,
Festuca calva,Festuca,,calva,,,End.,E-Alp.,139,1,18,
