code_cbna;G_SP
0;Pedicularis comosa
12667;Pedicularis foliosa
12668;Pedicularis gyroflexa
12670;Pedicularis kerneri
12682;Pedicularis rostratospicata
12682;Pedicularis rostratospicata helvetica
12685;Pedicularis tuberosa
12686;Pedicularis verticillata
10036;Persicaria alpina
10037;Persicaria amphibia
10053;Persicaria bistorta
10070;Persicaria lapathifolia
10090;Persicaria maculosa
10080;Persicaria mitis
10106;Persicaria vivipara
2685;Petasites albus
40553;Petasites hybridus
2692;Petasites paradoxus
5299;Petrorhagia prolifera
5302;Petrorhagia saxifraga
17778;Phegopteris connectilis
16642;Phleum alpinum
16645;Phleum alpinum rhaeticum
16662;Phleum phleoides
16663;Phleum pratense
16676;Phragmites australis
4743;Phyteuma betonicifolium
4744;Phyteuma charmelii
4752;Phyteuma hemisphaericum
4754;Phyteuma michelii
4758;Phyteuma nigrum
4759;Phyteuma orbiculare
