"","X","ntaxa","obs","rand.mean","rand.sd","obs.rank","obs.z","obs.p","runs","summits","metric","clade","sig","pool"
"111",117,33,267.641368617424,280.895363416143,18.981064969208,224,-0.698274560474898,0.224,999,"Burlan","mpd","Spermatophyta",0,"Ecrins NP"
"112",118,17,256.806892838235,281.4392360474,27.0490212334599,165,-0.910655620274151,0.165,999,"Choisy","mpd","Spermatophyta",0,"Ecrins NP"
"113",120,36,261.160879080952,280.437129291886,17.7858406999356,140,-1.08379752951475,0.14,999,"La Meije","mpd","Spermatophyta",0,"Ecrins NP"
"114",121,96,269.245131620833,280.759042731883,10.638305339563,145,-1.08230688474703,0.145,999,"Lauvitel","mpd","Spermatophyta",0,"Ecrins NP"
"115",122,62,265.980170028027,280.04216851052,13.4981568620137,151,-1.04177174900561,0.151,999,"Muraillette","mpd","Spermatophyta",0,"Ecrins NP"
"116",123,29,270.617859783251,281.177577428443,20.0121616659493,306,-0.527665017975512,0.306,999,"Occidentale Ailefroide","mpd","Spermatophyta",0,"Ecrins NP"
"117",124,63,277.386492412698,280.099000410584,13.0384358403295,437,-0.208039371524546,0.437,999,"Olan","mpd","Spermatophyta",0,"Ecrins NP"
"118",125,16,378.247871733333,281.672019118911,30.1264450027854,990,3.20568366448459,0.99,999,"Pelvoux","mpd","Spermatophyta",1,"Ecrins NP"
"119",126,164,263.341607466183,280.535496619146,8.10367739710432,9,-2.12173909577244,0.009,999,"Persistent","mpd","Spermatophyta",1,"Ecrins NP"
"120",127,31,283.098430636559,280.797219222117,20.2080031616592,590,0.113876239826035,0.59,999,"Plat de la Selle","mpd","Spermatophyta",0,"Ecrins NP"
"121",128,100,278.169611471313,279.686701630423,10.9649068360108,446,-0.138358691213594,0.446,999,"Rateau","mpd","Spermatophyta",0,"Ecrins NP"
"122",129,150,273.505325264251,280.551978928544,8.62034362201743,210,-0.817444637159904,0.21,999,"Rocher de la Selle","mpd","Spermatophyta",0,"Ecrins NP"
"123",130,40,251.872930391026,280.933020208057,17.2777188423087,40,-1.68194019605589,0.04,999,"Rouies","mpd","Spermatophyta",1,"Ecrins NP"
"124",131,76,262.778903064561,281.335952123156,12.5786038710398,58,-1.47528686401509,0.058,999,"Sirac","mpd","Spermatophyta",0,"Ecrins NP"
"125",132,215,275.966701052467,281.015131685812,6.75168835784059,231,-0.747728622201902,0.231,999,"Summits","mpd","Spermatophyta",0,"Ecrins NP"
"127",134,7,85.787811047619,104.740564453978,16.5987234180866,116,-1.14181994174969,0.116,999,"Barre des Ecrins","mpd","Asterales",0,"Ecrins NP"
"128",135,2,33.908879,103.380188716717,43.5147730278496,71,-1.59649941577898,0.071,999,"Brevoort","mpd","Asterales",0,"Ecrins NP"
"129",136,5,126.4086008,103.597387964765,20.159951575509,806,1.13151129107607,0.806,999,"Burlan","mpd","Asterales",0,"Ecrins NP"
"130",137,3,65.60157,105.45052337671,29.1423404225824,50,-1.36739029188716,0.05,999,"Choisy","mpd","Asterales",1,"Ecrins NP"
"131",139,4,124.575924,104.097432031698,24.8824253328003,664,0.82301028514719,0.664,999,"La Meije","mpd","Asterales",0,"Ecrins NP"
"132",140,12,116.574648969697,104.455821330664,11.9840183606417,822,1.01124908810504,0.822,999,"Lauvitel","mpd","Asterales",0,"Ecrins NP"
"133",141,11,109.027919054545,104.378341184566,12.8732324058709,675,0.361181847991699,0.675,999,"Muraillette","mpd","Asterales",0,"Ecrins NP"
"134",142,5,75.7731916,104.923190365365,20.698621336599,50,-1.40830629689441,0.05,999,"Occidentale Ailefroide","mpd","Asterales",1,"Ecrins NP"
"135",143,10,92.5989947111111,103.748064249872,13.2925036007858,287,-0.838748656656513,0.287,999,"Olan","mpd","Asterales",0,"Ecrins NP"
"136",144,2,88.063174,105.484286463463,41.1620660243735,215.5,-0.423232217089098,0.2155,999,"Pelvoux","mpd","Asterales",0,"Ecrins NP"
"137",145,28,103.931927362434,104.477595984744,7.10984327447699,431,-0.0767483334364055,0.431,999,"Persistent","mpd","Asterales",0,"Ecrins NP"
"138",146,5,95.7930482,104.195277141341,20.8482844571451,478,-0.403017761898472,0.478,999,"Plat de la Selle","mpd","Asterales",0,"Ecrins NP"
"139",147,16,97.9673516166667,104.580958956798,10.3139814021593,243,-0.641227386617854,0.243,999,"Rateau","mpd","Asterales",0,"Ecrins NP"
