"","summit","ntaxa","obs","rand.mean","rand.sd","obs.rank","obs.z","obs.p","runs","slice","metric"
"175","Pelvoux",14,204.776870857143,155.236727243815,28.5531528561546,950,1.7350148287617,0.95,999,3,"mntd"
"176","Persistent",123,48.7564477073172,67.0571315671445,5.98893676765759,2,-3.05574838569971,0.002,999,3,"mntd"
"177","Rateau",69,66.1096417391305,85.8394617287433,9.37169340671625,13,-2.10525666316328,0.013,999,3,"mntd"
"178","Rouies",24,85.3876811666667,129.104698675759,19.0052250376657,10,-2.30026308146584,0.01,999,3,"mntd"
"179","Sirac",50,58.0183415200001,97.8658770704705,12.1500484151983,1,-3.2796194869994,0.001,999,3,"mntd"
"180","Summits",155,50.2966296387098,60.1608294305145,4.78308639586496,22,-2.06230851283231,0.022,999,3,"mntd"
"181","Brevoort",9,135.783740666667,180.71077513469,36.4057496576564,103,-1.23406425881894,0.103,999,2,"mntd"
"182","Burlan",24,100.451670666667,130.284205047381,21.2762155196528,76,-1.40215417319672,0.076,999,2,"mntd"
"183","Choisy",15,119.729101733333,153.744972604338,27.3413625856767,96,-1.24411761719675,0.096,999,2,"mntd"
"184","Lauvitel",78,50.5643557692309,82.2139916330947,8.70625992873451,1,-3.63527348401419,0.001,999,2,"mntd"
"185","Muraillette",49,62.7121793061225,100.00817705767,11.9228650119717,1,-3.12810702076209,0.001,999,2,"mntd"
"186","Olan",51,89.2961049803922,98.3277662194745,11.704411228004,230,-0.771645925894422,0.23,999,2,"mntd"
"187","Pelvoux",14,206.776870857143,157.959682726584,29.357084047811,939,1.66287591952441,0.939,999,2,"mntd"
"188","Persistent",138,42.459457478261,63.9548577408279,5.40875451742396,1,-3.97418669923378,0.001,999,2,"mntd"
"189","Rateau",76,61.5317445526317,83.4324378179233,8.7759761584871,1,-2.49552788997858,0.001,999,2,"mntd"
"190","Rouies",30,77.2159861333334,121.883243983984,17.9136300120098,4,-2.49347886613179,0.004,999,2,"mntd"
"191","Sirac",57,53.8110777192983,93.5373664500291,10.9451156463153,1,-3.62959058766133,0.001,999,2,"mntd"
"192","Summits",173,43.687050682081,57.3902536350802,4.46572698558203,1,-3.06852680364052,0.001,999,2,"mntd"
"193","Brevoort",9,137.783740666667,179.82576040307,35.6602061710564,108,-1.17896176860936,0.108,999,1,"mntd"
"194","Burlan",29,94.997267586207,121.299328713403,17.5386559854424,61,-1.49966229732926,0.061,999,1,"mntd"
"195","Choisy",15,121.729101733333,153.633994035502,27.1627123822229,117,-1.1745841819188,0.117,999,1,"mntd"
"196","Lauvitel",87,46.6473766206897,79.0981780225053,7.66847416631261,1,-4.23171555358053,0.001,999,1,"mntd"
"197","Muraillette",55,60.3155422181819,95.8544835440532,11.3153988448909,1,-3.1407590499488,0.001,999,1,"mntd"
"198","Olan",57,78.4888727368422,94.6012175989675,11.0968848277035,75,-1.45197009001127,0.075,999,1,"mntd"
"199","Pelvoux",14,208.776870857143,158.627487532247,28.8589521680899,958,1.7377409627626,0.958,999,1,"mntd"
"200","Persistent",151,39.0101380662252,61.3442961681417,5.09289499993638,1,-4.3853560896495,0.001,999,1,"mntd"
"201","Rateau",86,62.902970883721,79.1729379328865,7.97493344811377,17,-2.04013828516821,0.017,999,1,"mntd"
