"","taxized","combinedname","V1","aiguille du plat de la selle","barre des Ecrins","brèche de valsenestre","brèche du râteau","la meije","le râteau","le sirac","les rouies","l'olan","mont pelvoux","occidentale l'ailefroide","pic du clapier du peyron","pic ouest (le rateau)","pointe brevoort","pointes de burlan","rocher de la selle","signal du lauvitel","tour choisy","tête de la muraillette"
"41","Astragalus alpinus","Astragalus alpinus","Astragalus_alpinus","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1"
"42","Astragalus australis","Astragalus australis","Astragalus_australis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","0"
"43","Astragalus depressus","Astragalus depressus","Astragalus_depressus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"44","Astrantia major","Astrantia major subsp. minor","Astrantia_minor","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"45","Athamanta cretensis","Athamanta cretensis","Athamanta_cretensis","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","3","0","0","0"
"46","Atocion rupestre","Atocion rupestre","Silene_rupestris","0","0","1","0","1","0","2","0","0","0","0","0","0","0","0","5","1","0","0"
"47","Bartsia alpina","Bartsia alpina","Bartsia_alpina","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","3","0","0","0"
"48","Berardia subacaulis","Berardia subacaulis","Berardia_subacaulis","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0"
"49","Bistorta vivipara","Bistorta vivipara","Polygonum_viviparum","0","0","0","0","0","0","1","0","1","0","2","2","0","0","0","4","3","0","4"
"50","Botrychium lunaria","Botrychium lunaria","Botrychium_lunaria","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","5","1","0","0"
"51","Bupleurum stellatum","Bupleurum stellatum","Bupleurum_stellatum","0","0","0","0","0","0","1","0","2","1","0","0","0","0","0","1","0","0","0"
"52","Cacalia alliariae","Cacalia alliariae","Cacalia_alliariae","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"53","Cacalia alpina","Cacalia alpina","Cacalia_alpina","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"54","Cacalia leucophylla","Cacalia leucophylla","Cacalia_leucophylla","2","2","0","4","2","3","0","6","1","0","1","3","1","0","1","2","1","0","1"
"55","Calathiana brachyphylla","Calathiana brachyphylla","Gentiana_brachyphylla","0","0","0","0","0","0","0","0","2","0","0","4","0","0","0","1","3","0","1"
"56","Calathiana orbicularis","Calathiana orbicularis","Gentiana_orbicularis","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","2","0","0","0"
"57","Calathiana verna","Calathiana verna subsp. delphinensis","Gentiana_delphinensis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"58","Callianthemum coriandrifolium","Callianthemum coriandrifolium","Callianthemum_coriandrifolium","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"59","Campanula alpestris","Campanula alpestris","Campanula_alpestris","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"60","Campanula cenisia","Campanula cenisia","Campanula_cenisia","0","0","0","0","0","0","3","3","0","0","0","7","0","0","1","1","0","0","2"
"61","Campanula linifolia","Campanula linifolia fo. scheuchzeri","Campanula_scheuchzeri","1","1","1","1","3","3","3","1","0","0","2","1","0","0","2","8","4","0","0"
"62","Campanula rhomboidalis","Campanula rhomboidalis","Campanula_rhomboidalis","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"63","Campanula rotundifolia","Campanula rotundifolia var. cochleariifolia","Campanula_rotundifolia","0","0","0","1","1","3","3","3","0","0","0","0","0","0","3","8","2","0","1"
"64","Capsella bursa-pastoris","Capsella bursa-pastoris","Capsella_bursa.pastoris","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0"
"65","Cardamine alpina","Cardamine alpina","Cardamine_alpina","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0"
"66","Cardamine bellidifolia","Cardamine bellidifolia","Cardamine_bellidifolia_alpina","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","3","0","0","0"
"67","Cardamine resedifolia","Cardamine resedifolia","Cardamine_resedifolia","1","0","0","2","2","4","0","2","6","0","0","0","1","0","0","2","0","1","0"
"68","Carduus carlinifolius","Carduus carlinifolius","Carduus_carlinifolius_carlinifolius","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"69","Carduus defloratus","Carduus defloratus","Carduus_defloratus","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0"
"70","Carduus medius","Carduus medius","Carduus_medius_medius","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","1","0","0","0"
"71","Carex atrata","Carex atrata var. parviflora","Carex_parviflora","0","1","0","0","0","0","0","0","0","0","1","0","2","0","0","3","2","0","1"
"72","Carex bicolor","Carex bicolor","Carex_bicolor","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"73","Carex digitata","Carex digitata subsp. ornithopoda","Carex_ornithopoda","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"74","Carex ferruginea","Carex ferruginea var. sempervirens","Carex_sempervirens","1","1","1","0","0","2","4","0","3","0","1","0","0","0","1","7","1","0","2"
"75","Carex foetida","Carex foetida","Carex_foetida","1","0","0","0","0","0","1","0","0","0","0","0","0","0","0","6","1","0","1"
"76","Carex frigida","Carex frigida","Carex_frigida","0","0","0","1","0","0","1","1","0","0","0","0","0","0","0","1","0","0","0"
"77","Carex rupestris","Carex rupestris","Carex_rupestris","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"78","Carlina acaulis","Carlina acaulis","Carlina_acaulis_caulescens","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"79","Cassida alpina","Cassida alpina","Scutellaria_alpina","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","1","0","0","0"
"80","Centaurea uniflora","Centaurea uniflora","Centaurea_uniflora_uniflora","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0"
"81","Cerastium alpinum","Cerastium alpinum","Cerastium_alpinum","0","0","0","0","0","0","0","1","0","0","0","3","0","0","0","4","0","0","0"
"82","Cerastium arvense","Cerastium arvense","Cerastium_arvense_suffruticosum","0","1","1","0","0","6","5","0","0","0","0","1","0","0","0","11","4","0","0"
"83","Cerastium cerastoides","Cerastium cerastoides","Cerastium_cerastoides","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","0","1"
"84","Cerastium latifolium","Cerastium latifolium","Cerastium_latifolium","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","1","0","0"
"85","Cerastium pedunculatum","Cerastium pedunculatum","Cerastium_pedunculatum","0","1","0","4","3","0","0","5","4","0","1","1","0","0","0","3","0","0","1"
"86","Cerastium uniflorum","Cerastium uniflorum","Cerastium_uniflorum","0","2","0","0","0","0","0","0","3","0","0","4","0","1","0","2","3","2","1"
"87","Chamerion dodonaei","Chamerion dodonaei","Epilobium_dodonaei_fleischeri","0","0","0","3","3","0","0","2","0","0","1","0","0","0","1","0","0","0","0"
"88","Chenopodium bonus-henricus","Chenopodium bonus-henricus","Chenopodium_bonus.henricus","0","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","1","0","0"
"89","Cirsium acaule","Cirsium acaule","Cirsium_acaule","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0"
"90","Cirsium spinosissimum","Cirsium spinosissimum","Cirsium_spinosissimum","1","0","1","0","0","0","1","2","1","0","0","0","1","0","0","5","3","0","0"
"91","Cotoneaster integerrimus","Cotoneaster integerrimus","Cotoneaster_integerrimus","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"92","Cotoneaster NA","Cotoneaster","Cotoneaster_jurana","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0"
"93","Crepis pygmaea","Crepis pygmaea","Crepis_pygmaea_pygmaea","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","3","0","0","0"
"94","Cryptogramma crispa","Cryptogramma crispa","Cryptogramma_crispa","0","1","0","0","0","1","1","0","1","0","0","0","0","0","0","1","1","0","1"
"95","Cystopteris fragilis","Cystopteris fragilis","Cystopteris_fragilis","0","0","0","0","0","2","0","0","1","0","0","0","1","0","0","2","1","0","0"
"96","Daphne alpina","Daphne alpina","Daphne_alpina","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1"
"97","Daphne mezereum","Daphne mezereum","Daphne_mezereum","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"98","Deschampsia flexuosa","Deschampsia flexuosa","Deschampsia_flexuosa","0","0","0","0","0","3","1","0","0","0","0","0","0","0","0","1","0","0","0"
"99","Doronicum grandiflorum","Doronicum grandiflorum","Doronicum_grandiflorum","0","1","0","1","0","2","0","0","0","0","0","5","0","0","0","9","2","0","3"
"100","Draba aizoides","Draba aizoides","Draba_aizoides","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","4","0","1"
"101","Draba dubia","Draba dubia","Draba_dubia","1","0","0","0","2","0","1","1","0","0","0","2","1","4","1","2","2","2","1"
"102","Draba fladnizensis","Draba fladnizensis","Draba_fladnizensis","0","2","0","0","3","0","0","0","1","0","0","3","0","0","0","2","0","0","0"
"103","Draba siliquosa","Draba siliquosa","Draba_siliquosa","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"104","Dryas octopetala","Dryas octopetala","Dryas_octopetala","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3"
"105","Dryopteris filix-mas","Dryopteris filix-mas","Dryopteris_filix.mas","0","0","0","0","0","5","1","2","0","0","0","0","0","0","0","1","1","0","0"
"106","Empetrum nigrum","Empetrum nigrum","Empetrum_nigrum_hermaphroditum","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0"
"107","Epilobium alsinifolium","Epilobium alsinifolium","Epilobium_alsinifolium","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0"
