"","taxized","combinedname","species","persistant","underIce"
"Trifolium_thalii","Trifolium thalii","Trifolium thalii","Trifolium_thalii","10","1"
"Trisetum_distichophyllum","Trisetaria distichophylla","Trisetaria distichophylla","Trisetum_distichophyllum","10","0"
"Trisetum_flavescens","Trisetum flavescens","Trisetum flavescens","Trisetum_flavescens","1","0"
"Trisetum_spicatum_ovatipaniculatum","Trisetum spicatum","Trisetum spicatum","Trisetum_spicatum_ovatipaniculatum","1","0"
"Urtica_dioica","Urtica dioica","Urtica dioica","Urtica_dioica","1","1"
"Vaccinium_myrtillus","Vaccinium myrtillus","Vaccinium myrtillus","Vaccinium_myrtillus","7","2"
"Vaccinium_uliginosum","Vaccinium uliginosum","Vaccinium uliginosum","Vaccinium_uliginosum","3","0"
"Vaccinium_uliginosum_microphyllum","Vaccinium uliginosum","Vaccinium uliginosum","Vaccinium_uliginosum_microphyllum","7","4"
"Valeriana_montana","Valeriana montana","Valeriana montana","Valeriana_montana","0","1"
"Veronica_allionii","Veronica allionii","Veronica allionii","Veronica_allionii","0","1"
"Veronica_alpina","Veronica alpina","Veronica alpina","Veronica_alpina","24","9"
"Veronica_aphylla","Veronica aphylla","Veronica aphylla","Veronica_aphylla","4","0"
"Veronica_bellidioides","Veronica bellidioides","Veronica bellidioides","Veronica_bellidioides","4","0"
"Veronica_fruticans","Veronica fruticans","Veronica fruticans","Veronica_fruticans","5","3"
"Veronica_serpyllifolia_humifusa","Veronica serpyllifolia","Veronica serpyllifolia","Veronica_serpyllifolia_humifusa","1","0"
"Viola_calcarata","Viola calcarata","Viola calcarata","Viola_calcarata","6","0"
"Viola_cenisia","Viola NA","Viola","Viola_cenisia","2","0"
"Viola_rupestris_rupestris","Viola rupestris","Viola rupestris","Viola_rupestris_rupestris","0","1"
"Zz_Lichens","Zz Lichens","Zz Lichens","Zz_Lichens","0","1"
