"","L_AREA","L_DRYM","PL_H_flora_MAX","PLOIDY..VALUE.","SEEDM","SLA","PLOIDY","TAPROOT","VEG_DISP","WOODY","LIFESPAN","GROWTHF"
"Erigeron_neglectus",NA,NA,30,NA,NA,NA,"diploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Erigeron_uniflorus",0.978912,NA,10,NA,0.2097904762,18.36,"diploid","no","basal lateral shoots","Herbaceous","pluriennial","forbs"
"Erinus_alpinus",NA,NA,20,NA,NA,NA,NA,NA,"below-ground runners","Herbaceous",NA,NA
"Eriophorum_angustifolium",NA,NA,50,NA,NA,NA,NA,NA,"tussocks, tufts","Herbaceous",NA,NA
"Eriophorum_latifolium",3.85333333333333,0.0234366666666667,50,NA,0.807716666625,15.75,"diploid",NA,"tussocks, tufts","Herbaceous","pluriennial",NA
"Eriophorum_polystachion",NA,NA,50,NA,NA,NA,NA,NA,"tussocks, tufts","Herbaceous",NA,NA
"Eriophorum_scheuchzeri",NA,NA,25,NA,0.62,NA,"diploid",NA,"below-ground runners","Herbaceous","pluriennial",NA
"Eritrichium_nanum",NA,NA,4,NA,NA,NA,NA,"yes","cushions","Suffrutescent",NA,NA
"Erodium_cicutarium",NA,NA,30,NA,NA,NA,NA,NA,"no vegetative dispersal parts","Herbaceous","annual",NA
"Erucastrum_nasturtiifolium",NA,NA,70,NA,NA,NA,"diploid",NA,"no vegetative dispersal parts","Herbaceous","biennial",NA
"Eryngium_alpinum",NA,NA,110,NA,NA,NA,NA,NA,"basal lateral shoots","Herbaceous",NA,NA
"Eryngium_campestre",314.69,3.4451425,30,NA,1.56320769230769,9.375,"diploid","yes","basal lateral shoots","Herbaceous","pluriennial",NA
"Erysimum_jugicola",NA,NA,25,NA,NA,NA,NA,NA,"basal lateral shoots","Herbaceous",NA,NA
"Erysimum_ochroleucum",NA,NA,30,NA,NA,NA,NA,NA,"basal lateral shoots","Suffrutescent",NA,NA
"Erysimum_rhaeticum",NA,NA,50,NA,NA,NA,NA,NA,"basal lateral shoots","Herbaceous",NA,NA
"Erysimum_virgatum",NA,NA,70,NA,NA,NA,"tetraploid",NA,"no vegetative dispersal parts","Herbaceous","biennial",NA
"Euonymus_europaeus",NA,NA,300,NA,NA,NA,NA,NA,"root shoots","Frutescent",NA,NA
"Euonymus_latifolius",NA,NA,300,NA,NA,NA,NA,NA,"below-ground runners","Frutescent",NA,NA
"Euonymus_NA",NA,NA,300,NA,NA,NA,NA,NA,"below-ground runners","Frutescent",NA,NA
"Eupatorium_cannabinum",NA,NA,NA,NA,NA,NA,NA,NA,"below-ground runners",NA,NA,NA
"Euphorbia_brittingeri",NA,NA,30,NA,1.18,NA,NA,NA,"below-ground runners","Suffrutescent",NA,NA
"Euphorbia_cyparissias",NA,NA,30,NA,1.8432,25.66,"diploid","yes","below-ground runners","Herbaceous","pluriennial",NA
"Euphorbia_exigua",NA,NA,NA,NA,NA,NA,NA,NA,"no vegetative dispersal parts",NA,NA,NA
"Euphorbia_helioscopia",4.57,0.0128750590443333,25,NA,2.2875,NA,"hexaploid","yes","no vegetative dispersal parts","Herbaceous","annual",NA
"Euphrasia_alpina",NA,NA,15,NA,NA,NA,NA,NA,"no vegetative dispersal parts","Herbaceous",NA,NA
"Euphrasia_drosocalyx",NA,NA,NA,NA,NA,NA,NA,NA,"no vegetative dispersal parts",NA,NA,NA
"Euphrasia_hirtella",NA,NA,15,NA,NA,NA,"diploid",NA,"no vegetative dispersal parts","Herbaceous","annual",NA
"Euphrasia_kerneri",NA,NA,NA,NA,NA,NA,NA,NA,"no vegetative dispersal parts",NA,NA,NA
"Euphrasia_minima",NA,NA,NA,NA,NA,NA,NA,NA,"no vegetative dispersal parts",NA,NA,NA
"Euphrasia_pectinata",NA,NA,25,NA,NA,NA,"diploid",NA,"no vegetative dispersal parts","Herbaceous","annual",NA
"Euphrasia_salisburgensis",NA,NA,12,NA,NA,NA,"tetraploid",NA,"no vegetative dispersal parts","Herbaceous","annual",NA
"Euphrasia_stricta",NA,NA,25,NA,0.1125,NA,NA,NA,"no vegetative dispersal parts","Herbaceous",NA,NA
"Evonymus_europaeus",NA,NA,300,NA,NA,NA,NA,NA,"root shoots","Frutescent",NA,NA
"Fagus_sylvatica",20.2754,NA,3000,2,221.167846153846,19.518010964,"diploid",NA,"basal lateral shoots","Frutescent","pluriennial",NA
"Fallopia_convolvulus",6.02666666666667,0.0442627872366667,30,4,4.00717647058824,NA,"tetraploid",NA,"no vegetative dispersal parts","Herbaceous","annual",NA
"Fallopia_japonica",NA,NA,NA,NA,NA,NA,NA,NA,"below-ground runners",NA,NA,NA
"Festuca_acuminata",NA,NA,50,2,NA,NA,NA,NA,"tussocks, tufts","Herbaceous",NA,NA
"Festuca_altissima",26.5,0.0627,90,2,0.73815575,37.51,"diploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Festuca_arundinacea",40.025,0.21726654915,100,7,2.25173076923077,15.12,"hexaploid","no","tussocks, tufts","Herbaceous","pluriennial",NA
"Festuca_chalcophaea",2.1,0.0016875,45,2,0.3945,9.2,NA,NA,"basal lateral shoots","Herbaceous",NA,"graminoids"
"Festuca_flavescens",1.46424166666667,0.00753333333333333,60,NA,NA,20.1736866966667,NA,NA,"tussocks, tufts","Herbaceous",NA,NA
"Festuca_gigantea",33.41,0.1230660057,130,7,2.76333333333333,NA,"hexaploid","no","basal lateral shoots","Herbaceous","pluriennial",NA
"Festuca_halleri",NA,NA,NA,NA,NA,NA,NA,NA,"tussocks, tufts",NA,NA,NA
"Festuca_heterophylla",NA,NA,NA,4,1.361,NA,"tetraploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Festuca_laevigata",NA,NA,65,NA,NA,NA,"octoploid",NA,"tussocks, tufts","Herbaceous","pluriennial","graminoids"
"Festuca_melanopsis",NA,NA,45,NA,1.47,NA,NA,NA,"basal lateral shoots","Herbaceous",NA,NA
"Festuca_ovina",NA,NA,26,3,NA,NA,"diploid",NA,"tussocks, tufts","Herbaceous","pluriennial",NA
"Festuca_pratensis",NA,NA,100,NA,2.05,NA,NA,NA,"basal lateral shoots","Herbaceous",NA,NA
"Festuca_rubra",NA,NA,61.6666666666667,6.33333333333333,0.969296057347671,NA,"hexaploid","no","basal lateral shoots","Herbaceous","pluriennial",NA
"Festuca_valesiaca",NA,NA,45,2,0.67,NA,"diploid",NA,"tussocks, tufts","Herbaceous","pluriennial",NA
"Filago_arvensis",0.75,0.001945,35,NA,0.4,39.06,NA,NA,"no vegetative dispersal parts","Herbaceous",NA,NA
"Filipendula_ulmaria",NA,NA,NA,NA,NA,NA,NA,NA,"basal lateral shoots",NA,NA,NA
"Filipendula_vulgaris",35.2,0.1418009479,90,NA,0.811442857142857,21.28,"diploid","no","basal lateral shoots","Herbaceous","pluriennial",NA
"Fourraea_alpina",NA,NA,70,NA,NA,NA,NA,NA,"basal lateral shoots","Herbaceous",NA,NA
"Fragaria_vesca",27.8691666666667,0.0971801659928571,30,NA,23.268335,33.1827083084615,"diploid","no","above-ground runners","Herbaceous","pluriennial",NA
"Frangula_NA",9.656888889,0.0788,400,NA,72.9188571428571,21.5590054325,"diploid","no","root shoots","Frutescent","pluriennial",NA
"Fraxinus_excelsior",114.335518518333,0.84485,2500,2,66.781877631579,18.0636702894444,"diploid",NA,"basal lateral shoots","Frutescent","pluriennial",NA
"Fumana_procumbens",0.11,0.00133,10,NA,2.96102222222222,8.22,"diploid",NA,"basal lateral shoots","Suffrutescent","pluriennial",NA
"Gagea_fragifera",NA,NA,20,NA,NA,NA,NA,NA,"bulbs","Herbaceous","pluriennial",NA
"Gagea_liotardii",NA,NA,20,NA,NA,NA,NA,NA,"bulbs","Herbaceous","pluriennial",NA
"Gagea_nakaiana",6.31,0.026393523,25,6,3.3635,NA,"hexaploid","no","bulbs","Herbaceous","pluriennial",NA
"Galeopsis_ladanum",4.82,0.0221625,NA,NA,1.2,19.36,"diploid",NA,"no vegetative dispersal parts","Herbaceous","annual",NA
"Galeopsis_tetrahit",23.9,0.08227985687,100,NA,4.12803333333333,31.14,"tetraploid",NA,"no vegetative dispersal parts","Herbaceous","annual",NA
"Galium_aparine",1.61333333333333,0.00569581057933333,100,NA,9.003865,NA,"hexaploid","yes","no vegetative dispersal parts","Herbaceous","annual",NA
"Galium_boreale",0.5579375,0.00278678571428571,35,NA,0.664714285714286,20.8977214103333,"hexaploid",NA,"below-ground runners","Herbaceous","pluriennial",NA
"Galium_commune",NA,NA,17.5,NA,NA,NA,"hexaploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Galium_corrudifolium",NA,NA,40,NA,NA,NA,NA,NA,"basal lateral shoots","Herbaceous",NA,NA
"Galium_glaucum",0.39,0.002825,70,NA,1.577,13.85,"diploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Galium_lucidum",66.273875,0.002345,50,NA,0.816666666666667,15.1593863508333,"tetraploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Galium_megalospermum",NA,NA,6,NA,NA,NA,"diploid","yes","creeping shoots or espaliers","Herbaceous","pluriennial",NA
"Galium_mollugo",0.624866666666667,0.00138814024093333,106.666666666667,NA,0.6855,51.278134174,"diploid",NA,"below-ground runners","Herbaceous","pluriennial",NA
"Galium_odoratum",3.61,0.0136360262,25,NA,6.35677777777778,75.59,"tetraploid",NA,"below-ground runners","Herbaceous","pluriennial",NA
"Galium_palustre",0.29,0.0007408707325,50,NA,0.909666666666667,28.775,"diploid","no","creeping shoots or espaliers","Herbaceous","pluriennial",NA
"Galium_pseudohelveticum",NA,NA,8,NA,NA,NA,NA,NA,"creeping shoots or espaliers","Herbaceous",NA,NA
"Galium_pumilum",NA,NA,40,NA,0.429,37.67,"octoploid","yes","basal lateral shoots","Herbaceous","pluriennial",NA
"Galium_rotundifolium",1.19,0.001955,20,NA,0.9115,45.735,"diploid",NA,"below-ground runners","Herbaceous","pluriennial",NA
"Galium_rubrum",NA,NA,40,NA,NA,NA,NA,NA,"basal lateral shoots","Herbaceous",NA,NA
"Galium_spurium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Galium_sylvaticum",NA,NA,65,NA,1.17916666666666,NA,"diploid",NA,"basal lateral shoots","Herbaceous","pluriennial",NA
"Galium_verum",0.1825,0.000803690617333333,65,NA,0.528139682523809,21.89,"diploid","no","below-ground runners","Herbaceous","pluriennial",NA
"Gamochaeta_norvegica",3.44172413793103,0.0172521428571429,40,NA,0.092,21.1733333333333,NA,NA,"no vegetative dispersal parts","Herbaceous",NA,NA
"Gamochaeta_sylvatica",NA,NA,30,NA,0.04525,23.91,NA,NA,"basal lateral shoots","Herbaceous",NA,NA
"Genista_pilosa",0.22,0.00166666666666667,20,NA,2.762,12.675,"diploid","no","basal lateral shoots","Suffrutescent","pluriennial",NA
"Genistella_sagittalis",NA,NA,25,NA,2.5,27.59,"tetraploid",NA,"creeping shoots or espaliers","Suffrutescent","pluriennial",NA
"Gentiana_acaulis",NA,NA,11.6666666666667,NA,NA,NA,"tetraploid","no","below-ground runners","Herbaceous","pluriennial","forbs"
"Gentiana_cruciata",NA,NA,35,NA,0.14775,NA,"tetraploid","yes","basal lateral shoots","Herbaceous","pluriennial",NA
"Gentiana_nivalis",0.11,0.00028,12,NA,0.02512,42.72,"diploid",NA,"no vegetative dispersal parts","Herbaceous","annual",NA
