"","ntaxa","obs","rand.mean","rand.sd","obs.rank","obs.z","obs.p","runs","summits","metric","clade","sig","pool","model"
"194","4","149.116654833333","124.5978395555","29.7063204526484","790",0.825373688300311,"0.789210789210789","1000","Occidentale Ailefroide","MPD","Caryophyllales",0,"All Summits","RD"
"195","2","178.921876","121.836758262","57.392145597491","864",0.994650350561132,"0.863136863136863","1000","Brevoort","MPD","Caryophyllales",0,"All Summits","RD"
"196","3","144.148955333333","120.496706543333","38.7419295063301","584.5",0.610507764878759,"0.583916083916084","1000","Burlan","MPD","Caryophyllales",0,"All Summits","RD"
"197","15","120.336285771429","124.713100521962","7.28646203500104","289.5",-0.600677630585185,"0.289210789210789","1000","Rocher de la Selle","MPD","Caryophyllales",0,"All Summits","RD"
"198","2","178.921876","124.217199809","54.8554224492304","860",0.997251935150625,"0.859140859140859","1000","Choisy","MPD","Caryophyllales",0,"All Summits","RD"
"199","7","100.500673047619","124.935742626857","19.3390995072167","125.5",-1.26350606811448,"0.125374625374625","1000","Muraillette","MPD","Caryophyllales",0,"All Summits","RD"
"200","6","139.664542466667","124.337999711467","21.8629418197156","739.5",0.701028383169313,"0.738761238761239","1000","Rateau","MPD","Caryophyllales",0,"All Summits","RD"
"201","14","110.83776421978","124.866295057681","8.12435068433992","49",-1.72672640349484,"0.048951048951049","1000","Lauvitel","MPD","Caryophyllales",1,"All Summits","RD"
"202","5","74.2545588","103.100994688","20.3719460735523","44",-1.41598823125934,"0.043956043956044","1000","Plat de la Selle","MPD","Asterales",1,"LGM","RD"
"203","7","73.9266513333333","103.904473662667","16.0572792950162","15",-1.86693036712874,"0.014985014985015","1000","Barre des Ecrins","MPD","Asterales",1,"LGM","RD"
"204","4","95.4487376666667","103.148194088","24.657404611956","484",-0.312257374306133,"0.483516483516484","1000","La Meije","MPD","Asterales",0,"LGM","RD"
"205","11","102.754694145455","103.873998405418","10.9605354904556","381",-0.102121311585398,"0.380619380619381","1000","Sirac","MPD","Asterales",0,"LGM","RD"
"206","10","104.383372755556","104.060317130778","11.7322614465687","441",0.0275356653317901,"0.440559440559441","1000","Rouies","MPD","Asterales",0,"LGM","RD"
"207","10","85.6340575111111","104.025130924356","11.9026679653521","80",-1.54512193961721,"0.0799200799200799","1000","Olan","MPD","Asterales",0,"LGM","RD"
"208","2","105.099755","104.18186813","43.135754341608","749",0.0212790267380262,"0.748251748251748","1000","Pelvoux","MPD","Asterales",0,"LGM","RD"
"209","5","71.6683194","103.4549786024","20.4905761074151","38",-1.5512818690782,"0.037962037962038","1000","Occidentale Ailefroide","MPD","Asterales",1,"LGM","RD"
"210","2","102.297246","106.048637375","44.2377838261311","438",-0.0848006172674513,"0.437562437562438","1000","Brevoort","MPD","Asterales",0,"LGM","RD"
"211","5","85.8170692","105.0006917354","20.3195198807816","184",-0.944098219247002,"0.183816183816184","1000","Burlan","MPD","Asterales",0,"LGM","RD"
"212","21","93.6333640666667","104.148527322829","4.70371169420228","26",-2.23550335134756,"0.025974025974026","1000","Rocher de la Selle","MPD","Asterales",1,"LGM","RD"
"213","3","98.9236253333333","104.629848065333","30.2194298567784","438.5",-0.188826286897007,"0.438061938061938","1000","Choisy","MPD","Asterales",0,"LGM","RD"
"214","11","100.372489563636","103.823961440218","10.8461682263494","301",-0.31822038940876,"0.300699300699301","1000","Muraillette","MPD","Asterales",0,"LGM","RD"
"215","14","116.376914659341","103.562354039582","8.84049473601718","938",1.44952980601304,"0.937062937062937","1000","Rateau","MPD","Asterales",0,"LGM","RD"
"216","11","103.032918327273","104.320149363455","10.7457793867669","383",-0.119789453128641,"0.382617382617383","1000","Lauvitel","MPD","Asterales",0,"LGM","RD"
"217","11","123.782915345455","124.223904492109","11.6295263508847","396",-0.0379197856687427,"0.395604395604396","1000","Plat de la Selle","MPD","Poales",0,"LGM","RD"
"218","10","115.754302155556","124.664165681444","12.8017131947956","204",-0.695989934340277,"0.203796203796204","1000","Barre des Ecrins","MPD","Poales",0,"LGM","RD"
"219","6","148.935438066667","123.342209565067","20.5671716571223","980",1.24437277659115,"0.979020979020979","1000","La Meije","MPD","Poales",1,"LGM","RD"
"220","14","98.8813477582418","125.073226650538","8.82815923407966","13",-2.96685619253301,"0.012987012987013","1000","Sirac","MPD","Poales",1,"LGM","RD"
"221","5","143.9450784","124.6891066182","22.2977693414691","821",0.863582876247088,"0.82017982017982","1000","Rouies","MPD","Poales",0,"LGM","RD"
"222","9","128.790192944444","124.715721536278","13.6036755732717","540",0.299512538815034,"0.53946053946054","1000","Olan","MPD","Poales",0,"LGM","RD"
"223","3","140.482278666667","126.078074888667","36.9236561511763","625",0.390107732533988,"0.624375624375624","1000","Pelvoux","MPD","Poales",0,"LGM","RD"
"224","6","108.258582133333","125.272840592933","18.9187017990309","166",-0.899335411083624,"0.165834165834166","1000","Occidentale Ailefroide","MPD","Poales",0,"LGM","RD"
"225","1",NA,NA,NA,"1",NA,"0.000999000999000999","1000","Brevoort","MPD","Poales",0,"LGM","RD"
"226","6","119.7188552","124.6579337998","19.8320450227971","314",-0.249045350296577,"0.313686313686314","1000","Burlan","MPD","Poales",0,"LGM","RD"
"227","23","120.910581675889","124.657680527731","4.08189179636744","169.5",-0.91798093599064,"0.169330669330669","1000","Rocher de la Selle","MPD","Poales",0,"LGM","RD"
"228","2","152.811214","125.111040395","59.0072773526416","498",0.469436565246981,"0.497502497502497","1000","Choisy","MPD","Poales",0,"LGM","RD"
"229","11","102.6686728","124.082205491745","11.6537951156605","58",-1.83747289867571,"0.0579420579420579","1000","Muraillette","MPD","Poales",0,"LGM","RD"
"230","18","127.053628163399","124.419411772281","6.70208035801992","611",0.393044584725914,"0.61038961038961","1000","Rateau","MPD","Poales",0,"LGM","RD"
"231","18","127.387061398693","124.63944193317","6.69052122052185","616",0.410673455020977,"0.615384615384615","1000","Lauvitel","MPD","Poales",0,"LGM","RD"
"232","5","67.8528638","69.6187856858","6.12512133942188","284",-0.288308065741384,"0.283716283716284","1000","Barre des Ecrins","MPD","Lamiales",0,"LGM","RD"
"233","3","68.4908853333333","70.3347927486667","11.2851152868695","351",-0.163392873573809,"0.350649350649351","1000","La Meije","MPD","Lamiales",0,"LGM","RD"
"234","6","72.9902313333333","69.4396858802","5.09604312062709","759.5",0.696725943852769,"0.758741258741259","1000","Sirac","MPD","Lamiales",0,"LGM","RD"
"235","5","64.8505018","69.9246361736","6.15396171684194","179",-0.824531351846615,"0.178821178821179","1000","Rouies","MPD","Lamiales",0,"LGM","RD"
"236","6","64.3445943333333","69.5346077420667","4.96967345410335","150",-1.04433690798096,"0.14985014985015","1000","Olan","MPD","Lamiales",0,"LGM","RD"
"237","1",NA,NA,NA,"1",NA,"0.000999000999000999","1000","Pelvoux","MPD","Lamiales",0,"LGM","RD"
"238","4","66.5778626666667","70.0463741095","8.16181300437029","352.5",-0.424968256559676,"0.352147852147852","1000","Occidentale Ailefroide","MPD","Lamiales",0,"LGM","RD"
"239","1",NA,NA,NA,"1",NA,"0.000999000999000999","1000","Brevoort","MPD","Lamiales",0,"LGM","RD"
"240","4","66.2110715","69.022230297","9.28147185650503","296.5",-0.302878556382172,"0.296203796203796","1000","Burlan","MPD","Lamiales",0,"LGM","RD"
"241","9","72.7573307222222","69.6460954198889","2.6426200262707","905.5",1.17732979823208,"0.904595404595405","1000","Rocher de la Selle","MPD","Lamiales",0,"LGM","RD"
"242","2","81.03732","69.44662381","21.3834592816044","841.5",0.542040276896224,"0.840659340659341","1000","Choisy","MPD","Lamiales",0,"LGM","RD"
