"","PHLAWD Input Name","TNRS iPlant Taxonomy","GenBank Taxonomy ID","GenBank Taxonomy","ITS","trnTLF","rbcL","matK","atpB","Alps Phylogeny","TaxRef v.9","Alien Origin","Endemic","Regional","All Summits","LGM","Aiguille du plat de la Selle","Barre des Ecrins","la Meije","le Sirac","les Rouies","Olan","Mont Pelvoux","Occidentale.Ailefroide","Point Brevoort","Pointes de Burlan","Rocher de la Selle","Tour Choisy","Tete de la Muraillette","le Rateau","Signal de Lauvitel"
"1399","Taraxacum_lapponicum",NA,NA,NA,NA,NA,NA,NA,NA,0,"Taraxacum_lapponicum","North Eurasia",0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"1400","Taraxacum_montanum",NA,NA,NA,NA,NA,NA,NA,NA,0,"Taraxacum_montanum","Persia, Asia",1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1
"1401","Taraxacum_officinale","Taraxacum_officinale",50225,"Taraxacum_officinale","910278951","19032329","424949786","242800835","NA",1,"Taraxacum_officinale","",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"1402","Taraxacum_rubicundum",NA,NA,NA,NA,NA,NA,NA,NA,0,"Taraxacum_rubicundum","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1403","Taraxacum_sellandii",NA,NA,NA,NA,NA,NA,NA,NA,0,"Taraxacum_sellandii","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1404","Taxus_baccata","Taxus_baccata",25629,"Taxus_baccata","NA","151301950","21360797","403239873","8517665",1,"Taxus_baccata","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1405","Telephium_imperati","Telephium_imperati",645216,"Telephium_imperati","374350782","374351432","323461161","323461126","NA",1,"Telephium_imperati","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1407","Teucrium_chamaedrys","Teucrium_chamaedrys",53176,"Teucrium_chamaedrys","395484407","395863784","3355853","607345168","NA",1,"Teucrium_chamaedrys","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"351","Chamaedrys_montana",NA,NA,NA,NA,NA,NA,NA,NA,0,"Teucrium_montanum","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1408","Teucrium_scordium","Teucrium_scordium",1132410,"Teucrium_scordium","395484462","395863840","379036022","379040048","NA",1,"Teucrium_scordium","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1409","Teucrium_scorodonia","Teucrium_scorodonia",53178,"Teucrium_scorodonia_subsp__baeticum","395484454","NA","NA","NA","NA",1,"Teucrium_scorodonia","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1410","Teucrium_scorodonia","Teucrium_scorodonia",53178,"Teucrium_scorodonia","NA","395863841","3355859","379042242","NA",1,"Teucrium_scorodonia","",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
