"","Row.names","Valid_LIB.C.150","Ecrins NP","Summits","Persistent","Under Ice","Plat de la Selle","Barre des Ecrins","La Meije","Sirac","Rouies","Olan","Pelvoux","Occidentale Ailefroide","Brevoort","Burlan","Rocher de la Selle","Choisy","Muraillette","Rateau","Lauvitel"
"163","Bellidiastrum_michelii","Bellidiastrum_michelii",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"164","Berardia_subacaulis","Berardia_lanuginosa",1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
"165","Berberis_vulgaris","Berberis_vulgaris",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"166","Betonica_officinalis","Betonica_officinalis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"167","Betula_pendula","Betula_pendula",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"168","Betula_pubescens","Betula_pubescens",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"169","Biscutella_laevigata","Biscutella_laevigata",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"170","Bistorta_officinalis","Bistorta_officinalis",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"171","Bistorta_vivipara","Bistorta_vivipara",1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1
"172","Bitteria_digitata","",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"173","Blackstonia_perfoliata","Blackstonia_perfoliata",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"174","Blechnum_spicant","Blechnum_spicant",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"175","Blysmus_compressus","Blysmus_compressus",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"176","Bombycilaena_erecta","Bombycilaena_erecta",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"177","Bothriochloa_ischaemum","Bothriochloa_ischaemum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"178","Botrychium_lunaria","Botrychium_lunaria",1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1
"179","Brachypodium_pinnatum","Brachypodium_pinnatum",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
