"","metric","clade","pool","z","pval","rho.est","alt","hyp","measure"
"106","MPD","Spermatophyta","Regional",506,0.733737529914827,0.0964285714285714,"two.sided","Geographic","Maximum Slope"
"107","MPD","Spermatophyta","LGM",772,0.164850209213564,-0.378571428571429,"two.sided","Geographic","Maximum Slope"
"108","MPD","Spermatophyta","All Summits",532,0.862584774457331,0.05,"two.sided","Geographic","Maximum Slope"
"109","MNTD","Asterales","Regional",586,0.872680732366173,-0.0464285714285714,"two.sided","Geographic","Maximum Elevation"
"110","MNTD","Asterales","LGM",670,0.481914203143901,-0.196428571428571,"two.sided","Geographic","Maximum Elevation"
"111","MNTD","Asterales","All Summits",660,0.523513367920213,-0.178571428571429,"two.sided","Geographic","Maximum Elevation"
"112","MNTD","Caryophyllales","Regional",368,0.512091764574595,0.191208791208791,"two.sided","Geographic","Maximum Elevation"
"113","MNTD","Caryophyllales","LGM",306,0.252961030208455,0.327472527472527,"two.sided","Geographic","Maximum Elevation"
"114","MNTD","Caryophyllales","All Summits",430,0.855675102870577,0.0549450549450549,"two.sided","Geographic","Maximum Elevation"
"115","MNTD","Lamiales","Regional",452,0.987912886056802,0.00659340659340659,"two.sided","Geographic","Maximum Elevation"
"116","MNTD","Lamiales","LGM",380,0.891846567393224,-0.043956043956044,"two.sided","Geographic","Maximum Elevation"
"117","MNTD","Lamiales","All Summits",608,0.239828311396307,-0.336263736263736,"two.sided","Geographic","Maximum Elevation"
"118","MNTD","Poales","Regional",296,0.220959647874357,0.349450549450549,"two.sided","Geographic","Maximum Elevation"
"119","MNTD","Poales","LGM",408,0.727041064526361,0.103296703296703,"two.sided","Geographic","Maximum Elevation"
"120","MNTD","Poales","All Summits",512,0.670604370794816,-0.125274725274725,"two.sided","Geographic","Maximum Elevation"
"121","MNTD","Rosales","Regional",120,0.163386034746161,0.454545454545455,"two.sided","Geographic","Maximum Elevation"
"122","MNTD","Rosales","LGM",106,0.106918151178142,0.518181818181818,"two.sided","Geographic","Maximum Elevation"
"123","MNTD","Rosales","All Summits",136,0.248380568071137,0.381818181818182,"two.sided","Geographic","Maximum Elevation"
"124","MNTD","Spermatophyta","Regional",402,0.307424937067368,0.282142857142857,"two.sided","Geographic","Maximum Elevation"
"125","MNTD","Spermatophyta","LGM",586,0.872680732366173,-0.0464285714285714,"two.sided","Geographic","Maximum Elevation"
"126","MNTD","Spermatophyta","All Summits",514,0.77282212722531,0.0821428571428571,"two.sided","Geographic","Maximum Elevation"
"127","MPD","Asterales","Regional",688,0.411416373585749,-0.228571428571429,"two.sided","Geographic","Maximum Elevation"
"128","MPD","Asterales","LGM",760,0.191620173026864,-0.357142857142857,"two.sided","Geographic","Maximum Elevation"
"129","MPD","Asterales","All Summits",734,0.259190923772765,-0.310714285714286,"two.sided","Geographic","Maximum Elevation"
"130","MPD","Caryophyllales","Regional",486,0.820100837854584,-0.0681318681318681,"two.sided","Geographic","Maximum Elevation"
"131","MPD","Caryophyllales","LGM",420,0.796566427832341,0.0769230769230769,"two.sided","Geographic","Maximum Elevation"
"132","MPD","Caryophyllales","All Summits",394,0.64847616069147,0.134065934065934,"two.sided","Geographic","Maximum Elevation"
"133","MPD","Lamiales","Regional",444,0.939614979477402,0.0241758241758242,"two.sided","Geographic","Maximum Elevation"
