"","metric","clade","pool","z","pval","tau.est","alt","hyp","measure"
"144","mpd","Spermatophyta","Summits",552,0.964221530060938,0.0142857142857143,"two.sided","Geographic","Heterogeneity"
"145","mntd","Asterales","Ecrins NP",522,0.812442880003941,0.0678571428571429,"two.sided","Environment","Available Energy"
"146","mntd","Asterales","Persistent LGM",594,0.832426178918744,-0.0607142857142857,"two.sided","Environment","Available Energy"
"147","mntd","Asterales","Summits",566,0.974440096881549,-0.0107142857142857,"two.sided","Environment","Available Energy"
"148","mntd","Caryophyllales","Ecrins NP",334,0.357312105525854,0.265934065934066,"two.sided","Environment","Available Energy"
"149","mntd","Caryophyllales","Persistent LGM",316,0.287738239069734,0.305494505494505,"two.sided","Environment","Available Energy"
"150","mntd","Caryophyllales","Summits",372,0.532151855360508,0.182417582417582,"two.sided","Environment","Available Energy"
"151","mntd","Lamiales","Ecrins NP",362,0.482691177195478,0.204395604395604,"two.sided","Environment","Available Energy"
"152","mntd","Lamiales","Persistent LGM",422,0.603931204034312,-0.159340659340659,"two.sided","Environment","Available Energy"
"153","mntd","Lamiales","Summits",474,0.891518798508243,-0.0417582417582418,"two.sided","Environment","Available Energy"
"154","mntd","Poales","Ecrins NP",380,0.573323360987644,0.164835164835165,"two.sided","Environment","Available Energy"
"155","mntd","Poales","Persistent LGM",462,0.963748772502748,-0.0153846153846154,"two.sided","Environment","Available Energy"
"156","mntd","Poales","Summits",478,0.867596308123435,-0.0505494505494506,"two.sided","Environment","Available Energy"
"157","mntd","Rosales","Ecrins NP",270,0.503066960517545,-0.227272727272727,"two.sided","Environment","Available Energy"
"158","mntd","Rosales","Persistent LGM",274,0.468183503088794,-0.245454545454545,"two.sided","Environment","Available Energy"
"159","mntd","Rosales","Summits",270,0.503066960517545,-0.227272727272727,"two.sided","Environment","Available Energy"
"160","mntd","Spermatophyta","Ecrins NP",384,0.253519673210499,0.314285714285714,"two.sided","Environment","Available Energy"
"161","mntd","Spermatophyta","Persistent LGM",646,0.584439145350384,-0.153571428571429,"two.sided","Environment","Available Energy"
"162","mntd","Spermatophyta","Summits",510,0.753207284938775,0.0892857142857143,"two.sided","Environment","Available Energy"
"163","mpd","Asterales","Ecrins NP",834,0.0665923053091992,-0.489285714285714,"two.sided","Environment","Available Energy"
"164","mpd","Asterales","Persistent LGM",812,0.0943519578290436,-0.45,"two.sided","Environment","Available Energy"
"165","mpd","Asterales","Summits",878,0.0298044733892531,-0.567857142857143,"two.sided","Environment","Available Energy"
"166","mpd","Caryophyllales","Ecrins NP",364,0.492397631724613,0.2,"two.sided","Environment","Available Energy"
"167","mpd","Caryophyllales","Persistent LGM",324,0.317559280210174,0.287912087912088,"two.sided","Environment","Available Energy"
"168","mpd","Caryophyllales","Summits",394,0.64847616069147,0.134065934065934,"two.sided","Environment","Available Energy"
"169","mpd","Lamiales","Ecrins NP",296,0.220959647874357,0.349450549450549,"two.sided","Environment","Available Energy"
"170","mpd","Lamiales","Persistent LGM",408,0.696084751435753,-0.120879120879121,"two.sided","Environment","Available Energy"
"171","mpd","Lamiales","Summits",502,0.727041064526361,-0.103296703296703,"two.sided","Environment","Available Energy"
"172","mpd","Poales","Ecrins NP",248,0.104380288916604,0.454945054945055,"two.sided","Environment","Available Energy"
"173","mpd","Poales","Persistent LGM",274,0.160153381461374,0.397802197802198,"two.sided","Environment","Available Energy"
"174","mpd","Poales","Summits",258,0.123872396419663,0.432967032967033,"two.sided","Environment","Available Energy"
"175","mpd","Rosales","Ecrins NP",270,0.503066960517545,-0.227272727272727,"two.sided","Environment","Available Energy"
"176","mpd","Rosales","Persistent LGM",270,0.503066960517545,-0.227272727272727,"two.sided","Environment","Available Energy"
"177","mpd","Rosales","Summits",310,0.213864224336727,-0.409090909090909,"two.sided","Environment","Available Energy"
"178","mpd","Spermatophyta","Ecrins NP",486,0.638932943879,0.132142857142857,"two.sided","Environment","Available Energy"
"179","mpd","Spermatophyta","Persistent LGM",758,0.196348882690508,-0.353571428571428,"two.sided","Environment","Available Energy"
"180","mpd","Spermatophyta","Summits",504,0.724060433819824,0.1,"two.sided","Environment","Available Energy"
"181","mntd","Asterales","Ecrins NP",710,0.333445516507358,-0.267857142857143,"two.sided","Environment","Stress"
"182","mntd","Asterales","Persistent LGM",736,0.253519673210499,-0.314285714285714,"two.sided","Environment","Stress"
"183","mntd","Asterales","Summits",698,0.37482475819644,-0.246428571428571,"two.sided","Environment","Stress"
"184","mntd","Caryophyllales","Ecrins NP",760,0.0107963859706298,-0.67032967032967,"two.sided","Environment","Stress"
"185","mntd","Caryophyllales","Persistent LGM",780,0.00556164999027656,-0.714285714285714,"two.sided","Environment","Stress"
"186","mntd","Caryophyllales","Summits",768,0.00838258399254918,-0.687912087912088,"two.sided","Environment","Stress"
"187","mntd","Lamiales","Ecrins NP",454,1,0.0021978021978022,"two.sided","Environment","Stress"
"188","mntd","Lamiales","Persistent LGM",296,0.541341049536417,0.186813186813187,"two.sided","Environment","Stress"
"189","mntd","Lamiales","Summits",422,0.808313874049904,0.0725274725274725,"two.sided","Environment","Stress"
"190","mntd","Poales","Ecrins NP",448,0.963748772502748,0.0153846153846154,"two.sided","Environment","Stress"
"191","mntd","Poales","Persistent LGM",360,0.473080171321481,0.208791208791209,"two.sided","Environment","Stress"
"192","mntd","Poales","Summits",380,0.573323360987644,0.164835164835165,"two.sided","Environment","Stress"
"193","mntd","Rosales","Ecrins NP",196,0.754880444355198,0.109090909090909,"two.sided","Environment","Stress"
"194","mntd","Rosales","Persistent LGM",186,0.653538937959263,0.154545454545455,"two.sided","Environment","Stress"
"195","mntd","Rosales","Summits",204,0.83882493483871,0.0727272727272727,"two.sided","Environment","Stress"
"196","mntd","Spermatophyta","Ecrins NP",592,0.842456020796488,-0.0571428571428571,"two.sided","Environment","Stress"
"197","mntd","Spermatophyta","Persistent LGM",408,0.326822107241016,0.271428571428571,"two.sided","Environment","Stress"
"198","mntd","Spermatophyta","Summits",566,0.974440096881549,-0.0107142857142857,"two.sided","Environment","Stress"
"199","mpd","Asterales","Ecrins NP",456,0.506673970534301,0.185714285714286,"two.sided","Environment","Stress"
"200","mpd","Asterales","Persistent LGM",488,0.648201799187281,0.128571428571429,"two.sided","Environment","Stress"
"201","mpd","Asterales","Summits",420,0.367734618943773,0.25,"two.sided","Environment","Stress"
"202","mpd","Caryophyllales","Ecrins NP",724,0.0288937236498446,-0.591208791208791,"two.sided","Environment","Stress"
"203","mpd","Caryophyllales","Persistent LGM",774,0.00686211373106961,-0.701098901098901,"two.sided","Environment","Stress"
"204","mpd","Caryophyllales","Summits",726,0.027508385456238,-0.595604395604396,"two.sided","Environment","Stress"
"205","mpd","Lamiales","Ecrins NP",538,0.532151855360508,-0.182417582417582,"two.sided","Environment","Stress"
"206","mpd","Lamiales","Persistent LGM",318,0.682631671519805,0.126373626373626,"two.sided","Environment","Stress"
"207","mpd","Lamiales","Summits",418,0.784860840614789,0.0813186813186813,"two.sided","Environment","Stress"
"208","mpd","Poales","Ecrins NP",488,0.808313874049905,-0.0725274725274725,"two.sided","Environment","Stress"
"209","mpd","Poales","Persistent LGM",496,0.761584492880023,-0.0901098901098901,"two.sided","Environment","Stress"
"210","mpd","Poales","Summits",522,0.615811916244492,-0.147252747252747,"two.sided","Environment","Stress"
"211","mpd","Rosales","Ecrins NP",210,0.902917866811604,0.0454545454545455,"two.sided","Environment","Stress"
"212","mpd","Rosales","Persistent LGM",176,0.557553078061045,0.2,"two.sided","Environment","Stress"
"213","mpd","Rosales","Summits",162,0.434522554208937,0.263636363636364,"two.sided","Environment","Stress"
"214","mpd","Spermatophyta","Ecrins NP",674,0.465749711122254,-0.203571428571429,"two.sided","Environment","Stress"
"215","mpd","Spermatophyta","Persistent LGM",504,0.724060433819824,0.1,"two.sided","Environment","Stress"
"216","mpd","Spermatophyta","Summits",664,0.506673970534301,-0.185714285714286,"two.sided","Environment","Stress"
"217","mntd","Asterales","Ecrins NP",734,0.259190923772765,-0.310714285714286,"two.sided","Environment","Present Stability"
"218","mntd","Asterales","Persistent LGM",562,0.994887248557189,-0.00357142857142857,"two.sided","Environment","Present Stability"
"219","mntd","Asterales","Summits",630,0.657520919334464,-0.125,"two.sided","Environment","Present Stability"
"220","mntd","Caryophyllales","Ecrins NP",380,0.573323360987644,0.164835164835165,"two.sided","Environment","Present Stability"
"221","mntd","Caryophyllales","Persistent LGM",430,0.855675102870577,0.0549450549450549,"two.sided","Environment","Present Stability"
"222","mntd","Caryophyllales","Summits",378,0.562902903487392,0.169230769230769,"two.sided","Environment","Present Stability"
"223","mntd","Lamiales","Ecrins NP",424,0.820100837854584,0.0681318681318681,"two.sided","Environment","Present Stability"
"224","mntd","Lamiales","Persistent LGM",284,0.470352562207021,0.21978021978022,"two.sided","Environment","Present Stability"
"225","mntd","Lamiales","Summits",272,0.155262653539158,0.402197802197802,"two.sided","Environment","Present Stability"
"226","mntd","Poales","Ecrins NP",400,0.681768230694678,0.120879120879121,"two.sided","Environment","Present Stability"
"227","mntd","Poales","Persistent LGM",322,0.309937985690013,0.292307692307692,"two.sided","Environment","Present Stability"
"228","mntd","Poales","Summits",280,0.175452601385176,0.384615384615385,"two.sided","Environment","Present Stability"
