,PhyloSor,PhyloSor_turn,PhyloSor_PD,UniFrac,UniFrac_turn,UniFrac_PD,SES_PhyloSor,SES_PhyloSor_turn,SES_PhyloSor_PD,SES_UniFrac,SES_UniFrac_turn,SES_UniFrac_PD
Plat de la Selle-Olan,0.360424019,0.059296648,0.30112737,0.529870119,0.111954755,0.417915364,1.315155431,-1.362873942,2.652573912,1.293931859,-1.424811563,2.61122008
Plat de la Selle-Pelvoux,0.553430029,0.553000612,0.000429416,0.712526497,0.712170501,0.000355996,0.868752745,2.699698321,-3.469049319,0.87264402,2.421611532,-3.049644484
Plat de la Selle-Occidentale Ailefroide,0.358347893,0.344334821,0.014013073,0.527623144,0.512275388,0.015347757,-1.603726355,-1.233474707,-0.609212076,-1.64995554,-1.246904204,-0.538499427
Plat de la Selle-Brevoort,0.463144725,0.283196281,0.179948444,0.633081221,0.441391992,0.19168923,-0.746772901,0.563020287,-1.477481713,-0.729743574,0.604349153,-1.26632214
Plat de la Selle-Burlan,0.390771914,0.347523655,0.043248259,0.561949678,0.515796,0.046153678,-0.385775255,-0.709307502,0.796942526,-0.358155742,-0.689805748,0.833996556
Plat de la Selle-Rocher de la Selle,0.499935012,0.019727109,0.480207903,0.666608897,0.038690958,0.627917939,0.800331829,-0.138993062,0.845125783,0.805653156,-0.127508443,0.717748979
Plat de la Selle-Choisy,0.370447822,0.266432486,0.104015336,0.540623022,0.420760663,0.11986236,-1.046126083,-0.084727135,-0.997860338,-1.04775678,-0.039385167,-0.853064256
Plat de la Selle-Muraillette,0.352746175,0.169151721,0.183594454,0.521526036,0.289358033,0.232168003,-1.099635591,-1.043552927,0.272891859,-1.100259381,-1.064182048,0.552033096
Plat de la Selle-Rateau,0.439734606,0.103297344,0.336437263,0.61085509,0.187252048,0.423603042,0.126439845,-0.356086071,0.47737907,0.149078834,-0.333400353,0.469144019
Plat de la Selle-Lauvitel,0.403139514,0.10253077,0.300608744,0.574624989,0.18599167,0.388633319,-0.723074482,-0.418798427,-0.21650467,-0.710551934,-0.401365543,0.011137066
Barre des Ecrins-La Meije,0.216841391,0.188805146,0.028036245,0.35640042,0.317638507,0.038761912,-2.974224708,-2.636309498,-0.162751994,-3.224959951,-2.845166337,0.050415598
Barre des Ecrins-Sirac,0.311618632,0.145537544,0.166081088,0.475166523,0.254094761,0.221071762,-1.366954527,-1.161681004,0.009128857,-1.388279687,-1.19287874,0.335067211
Barre des Ecrins-Rouies,0.187374979,0.157134828,0.030240151,0.31561214,0.271592945,0.044019195,-2.726383063,-2.83975168,0.422986464,-2.921843719,-3.067479262,0.725198059
Barre des Ecrins-Olan,0.313911054,0.081318139,0.232592915,0.477826948,0.150405576,0.327421371,1.027915904,-1.901751408,3.295680467,1.025957852,-2.031945668,3.393288306
Barre des Ecrins-Pelvoux,0.496722758,0.457748699,0.038974059,0.663747184,0.628021413,0.035725771,0.344599139,3.157006371,-4.089816853,0.36988161,2.794459334,-3.56559284
Barre des Ecrins-Occidentale Ailefroide,0.24125421,0.200025027,0.041229183,0.388726512,0.333368092,0.05535842,-1.74115011,-0.573336678,-1.290881503,-1.808871449,-0.548837893,-1.147083566
Barre des Ecrins-Brevoort,0.327650274,0.014066396,0.313583878,0.493579191,0.027742555,0.465836636,-2.919238992,-1.45183892,-1.403975407,-3.16282208,-1.563936574,-0.280700662
Barre des Ecrins-Burlan,0.208320501,0.203077815,0.005242686,0.344810008,0.337597141,0.007212868,-2.121592705,-0.832909921,-1.554348038,-2.23887834,-0.823842427,-1.501865602
Barre des Ecrins-Rocher de la Selle,0.433931218,0.002573047,0.431358171,0.605232961,0.005132887,0.600100073,0.7047997,-1.445616893,1.469935064,0.713906133,-1.501476393,1.783962835
Barre des Ecrins-Choisy,0.241851443,0.037356944,0.204494499,0.389501409,0.072023317,0.317478092,-2.866710122,-1.721691921,-1.039627255,-3.106544669,-1.851696472,-0.203836358
Barre des Ecrins-Muraillette,0.252509576,0.120014317,0.132495259,0.403205821,0.214308541,0.18889728,-2.023185006,-2.065168837,0.624247752,-2.101619498,-2.216463138,1.082713073
Barre des Ecrins-Rateau,0.343429765,0.047264311,0.296165454,0.511273122,0.090262431,0.421010692,-0.148426969,-1.311965804,1.033467632,-0.123825369,-1.370617434,1.348733769
Barre des Ecrins-Lauvitel,0.296215979,0.03765816,0.258557819,0.457047257,0.072582979,0.384464278,-1.332515911,-1.626950629,0.259563573,-1.35608825,-1.723015572,0.856059879
La Meije-Sirac,0.369813586,0.184326999,0.185486588,0.539947318,0.311277204,0.228670114,-0.757997492,-0.526550517,-0.123365391,-0.747955837,-0.505449419,0.048586723
La Meije-Rouies,0.161398497,0.097936302,0.063462195,0.277938189,0.178400699,0.099537489,-2.684490419,-3.183950209,1.313142754,-2.88840999,-3.539860133,1.837928726
La Meije-Olan,0.413121533,0.178907549,0.234213983,0.584693564,0.303514129,0.281179435,1.010253697,-1.271726851,2.660052968,1.007186086,-1.312561292,2.570422631
La Meije-Pelvoux,0.529241817,0.510948459,0.018293358,0.692162366,0.676328111,0.015834254,-0.351212549,1.839948344,-3.561052849,-0.320838104,1.735034691,-3.074278089
La Meije-Occidentale Ailefroide,0.274159406,0.261601674,0.012557732,0.430337688,0.414713581,0.015624107,-2.798256999,-1.621560557,-1.270400457,-3.015683771,-1.682722717,-1.167093033
La Meije-Brevoort,0.307499552,0.029231555,0.278267997,0.470362765,0.05680268,0.413560085,-2.258429129,-0.347229691,-1.963078923,-2.402289425,-0.334558857,-1.491978017
La Meije-Burlan,0.269687296,0.248657704,0.021029592,0.424809001,0.398280014,0.026528987,-1.733754779,-1.422620631,-0.367462625,-1.805858624,-1.461669737,-0.269622084
La Meije-Rocher de la Selle,0.478017102,0.033087981,0.444929121,0.646835684,0.064056463,0.582779221,0.793499105,-0.656548475,1.229789568,0.798798194,-0.660497258,1.198389953
La Meije-Choisy,0.233621979,0.066321623,0.167300355,0.378757809,0.124393283,0.254364526,-2.405156388,-1.147060663,-1.160704381,-2.580195745,-1.192814903,-0.617395373
La Meije-Muraillette,0.271911596,0.107550473,0.164361123,0.427563671,0.194213222,0.23335045,-3.597077032,-3.5157775,1.063062578,-3.937158463,-4.043785501,2.13996301
La Meije-Rateau,0.376312224,0.052509185,0.32380304,0.54684136,0.099779052,0.447062308,-0.195501487,-1.311689776,1.017289934,-0.172781842,-1.366207976,1.32645028
