"","taxized"
"621","Edritria ferruginea"
"622","Eleocharis macrostachya"
"623","Eleocharis mamillata"
"624","Eleocharis quinqueflora"
"625","Eleocharis uniglumis"
"626","Elymus caninus"
"627","Elymus repens"
"628","Elytrigia intermedia"
"629","Epilobium alpestre"
"630","Epilobium angustifolium"
"631","Epilobium collinum"
"632","Epilobium hirsutum"
"633","Epilobium palustre"
"634","Epilobium parviflorum"
"635","Epipactis atrorubens"
"636","Epipactis helleborine"
"637","Epipactis palustris"
"638","Epipogium aphyllum"
"639","Equisetum arvense"
"640","Equisetum fluviatile"
"641","Equisetum hyemale"
"642","Equisetum palustre"
"643","Equisetum variegatum"
"644","Erigeron acris"
"645","Erigeron annuus"
"646","Erigeron neglectus"
"647","Erinus alpinus"
"648","Eriophorum angustifolium"
"649","Eriophorum latifolium"
"650","Eriophorum scheuchzeri"
"651","Erodium cicutarium"
"652","Erucastrum nasturtiifolium"
"653","Eryngium alpinum"
"654","Eryngium campestre"
"655","Erysimum jugicola"
"656","Erysimum nevadense"
"657","Erysimum ochroleucum"
"658","Erysimum rhaeticum"
"659","Erysimum virgatum"
"660","Euonymus europaeus"
"661","Euonymus latifolius"
"662","Eupatorium cannabinum"
"663","Euphorbia brittingeri"
"664","Euphorbia exigua"
"665","Euphorbia helioscopia"
"666","Euphrasia hirtella"
"667","Euphrasia kerneri"
"668","Euphrasia pectinata"
"669","Fagus sylvatica"
"670","Fallopia convolvulus"
"671","Fallopia japonica"
"672","Festuca altissima"
"673","Festuca arundinacea"
"674","Festuca flavescens"
"675","Festuca gigantea"
"676","Festuca heterophylla"
"677","Festuca ovina"
"678","Festuca pratensis"
"679","Festuca valesiaca"
"680","Filago arvensis"
"681","Filipendula ulmaria"
"682","Filipendula vulgaris"
"683","Fourraea alpina"
"684","Fragaria vesca"
"685","Fraxinus excelsior"
"686","Fumana procumbens"
"687","Gagea liotardii"
"688","Gagea nakaiana"
"689","Galeopsis ladanum"
"690","Galeopsis tetrahit"
"691","Galium aparine"
"692","Galium boreale"
"693","Galium commune"
"694","Galium corrudifolium"
"695","Galium glaucum"
"696","Galium lucidum"
"697","Galium megalospermum"
"698","Galium mollugo"
"699","Galium odoratum"
"700","Galium palustre"
"701","Galium rotundifolium"
"702","Galium rubrum"
"703","Galium sylvaticum"
"704","Galium verum"
"705","Gamochaeta sylvatica"
"706","Genista cinerea"
"707","Genista pilosa"
"708","Genistella sagittalis"
"709","Gentiana cruciata"
"710","Gentiana pneumonanthe"
"711","Gentianella tenella"
"712","Gentianopsis ciliata"
"713","Gentianusa lutea"
"714","Gentianusa punctata"
"715","Geranium argenteum"
"716","Geranium columbinum"
"717","Geranium lucidum"
"718","Geranium molle"
"719","Geranium nodosum"
"720","Geranium phaeum"
"721","Geranium pyrenaicum"
"722","Geranium robertianum"
"723","Geranium rotundifolium"
"724","Geranium sanguineum"
"725","Geum rivale"
"726","Glechoma hederacea"
"727","Glechoma nepetella"
"728","Globularia bisnagarica"
"729","Glyceria fluitans"
"730","Glyceria notata"
"731","Gnaphalium hoppeanum"
"732","Goodyera repens"
"733","Gymnadenia conopsea"
"734","Gymnadenia nigra"
"735","Gymnocarpium dryopteris"
"736","Hedera helix"
"737","Hedysarum hedysaroides"
"738","Helianthemum apenninum"
"739","Helianthemum grandiflorum"
"740","Helianthemum nummularium"
"741","Helianthemum oelandicum"
"742","Helictotrichon pratense"
"743","Helictotrichon pubescens"
"744","Helictotrichon sempervirens"
"745","Helleborus foetidus"
"746","Hepatica nobilis"
"747","Heracleum sphondylium"
"748","Herniaria hirsuta"
"749","Herniaria incana"
"750","Herorchis morio"
"751","Hieracium amplexicaule"
"752","Hieracium argillaceum"
"753","Hieracium aurantiacum"
"754","Hieracium bifidum"
"755","Hieracium cymosum"
"756","Hieracium diaphanoides"
"757","Hieracium glaucinum"
"758","Hieracium intybaceum"
"759","Hieracium inuloides"
"760","Hieracium juranum"
"761","Hieracium lachenalii"
"762","Hieracium lactucella"
"763","Hieracium lawsonii"
"764","Hieracium murorum"
"765","Hieracium niphobium"
"766","Hieracium piloselloides"
"767","Hieracium pilosum"
"768","Hieracium praealtum"
"769","Hieracium prenanthoides"
"770","Hieracium sabaudum"
"771","Hieracium schmidtii"
"772","Hieracium umbellatum"
"773","Hieracium umbrosum"
"774","Hieracium valdepilosum"
"775","Himantoglossum hircinum"
"776","Hippocrepis comosa"
"777","Hippocrepis emerus"
"778","Hippophae rhamnoides"
"779","Holcus lanatus"
"780","Holosteum umbellatum"
